,broker,count,bamount,bcount,samount,scount,top3
0,华安证券股份有限公司蚌埠分公司,6,11884.03,5,1144.88,1,"炼石有色,当升科技,融捷股份,"
1,天风证券股份有限公司深圳滨河路证券营业部,1,4122.46,1,0.0,0,万泽股份
2,华泰证券股份有限公司南京止马营证券营业部,2,1706.14,1,13.21,1,"绵石投资,兆丰股份"
3,中国银河证券股份有限公司北京朝阳门北大街证券营业部,28,83769.09,19,57602.41,9,"秦港股份,安泰科技,昆百大A,"
4,浙商证券股份有限公司绍兴解放北路证券营业部,31,75963.3,19,42433.67,12,"锌业股份,秦港股份,江特电机,"
5,华融证券股份有限公司深圳金田路证券营业部,3,1292.01,1,3060.56,2,"万泽股份,迪安诊断,梦网集团"
6,华泰证券股份有限公司上海分公司,3,1699.05,2,2111.36,1,"绵石投资,东珠景观,云铝股份"
7,招商证券股份有限公司太原平阳路证券营业部,4,2314.43,2,3037.17,2,"广和通,炼石有色"
8,中国银河证券股份有限公司武汉新华路证券营业部,1,3642.08,1,0.0,0,锌业股份
9,国泰君安证券股份有限公司北京金桐西路证券营业部,4,6147.41,3,1722.44,1,"昆百大A,安泰科技,建研院"
10,中信建投证券股份有限公司广州市中山三路证券营业部,4,3351.26,2,1662.49,2,"花园生物,万泽股份,融捷股份,"
11,中信证券股份有限公司杭州延安路证券营业部,9,4058.63,2,11336.16,7,"乐心医疗,绵石投资,华通热力,"
12,光大证券股份有限公司北京月坛北街证券营业部,4,2758.97,2,1180.76,2,"云铝股份,炼石有色,海德股份,"
13,招商证券股份有限公司北京安外大街证券营业部,5,4737.78,3,2004.89,2,"锌业股份,纵横通信,正川股份,"
14,国盛证券有限责任公司南昌永叔路证券营业部,5,4194.35,3,1549.95,2,"紫光国芯,昆百大A,赢时胜,"
15,国泰君安证券股份有限公司深圳益田路证券营业部,4,986.5,2,1001.67,2,"万泽股份,美格智能,必创科技"
16,湘财证券股份有限公司长沙芙蓉中路证券营业部,3,1346.13,2,919.82,1,"绵石投资,昭衍新药,寒锐钴业"
17,华福证券有限责任公司宁德天湖东路证券营业部,1,245.54,1,0.0,0,炼石有色
18,华泰证券股份有限公司张家港杨舍东街证券营业部,7,9400.29,4,4081.85,3,"本钢板材,锌业股份,元隆雅图,"
19,中国中投证券有限责任公司重庆民权路证券营业部,5,2511.82,5,0.0,0,"昆百大A,花园生物,掌阅科技,"
20,国泰君安证券股份有限公司深圳华强北路证券营业部,2,581.03,2,0.0,0,"万泽股份,世纪天鸿"
21,中国中投证券有限责任公司广州中山六路证券营业部,1,1130.32,1,0.0,0,绵石投资
22,中信证券股份有限公司杭州文三路证券营业部,10,17223.11,4,9515.06,6,"通富微电,士兰微,炼石有色,"
23,方正证券股份有限公司深圳别墅路证券营业部,3,5866.3,2,643.22,1,"冀东装备,锌业股份,金龙羽"
24,中信证券股份有限公司湖北分公司,8,5605.54,4,6387.27,4,"秦港股份,昆百大A,杭州园林,"
25,中国银河证券股份有限公司佛山证券营业部,2,0.0,0,819.53,2,"万泽股份,电工合金"
26,安信证券股份有限公司上海杨浦区殷行路证券营业部,2,0.0,0,15262.16,2,"鱼跃医疗,绵石投资"
27,中国银河证券股份有限公司北京金融街证券营业部,2,0.0,0,7762.53,2,炼石有色
28,广发证券股份有限公司揭阳临江北路证券营业部,1,0.0,0,1572.18,1,锌业股份
29,海通证券股份有限公司蚌埠中荣街证券营业部,39,52922.64,25,31877.84,14,"建科院,精工钢构,安凯客车,"
30,民生证券股份有限公司福州华林路证券营业部,1,0.0,0,2810.1,1,绵石投资
31,招商证券股份有限公司北京车公庄西路证券营业部,7,1535.19,3,3669.38,4,"深物业A,科力尔,量子高科,"
32,深股通专用,19,37129.44,9,27005.99,10,"万科A,京东方A,雅化集团,"
33,华西证券股份有限公司重庆中山三路证券营业部,18,9197.27,10,10692.91,8,"川恒股份,金溢科技,皮阿诺,"
34,渤海证券股份有限公司北京西外大街证券营业部,6,2379.2,2,14549.43,4,"朗新科技,万泽股份,傲农生物,"
35,信达证券股份有限公司福州五四路证券营业部,1,0.0,0,2528.31,1,绵石投资
36,九州证券股份有限公司黑龙江分公司,1,0.0,0,285.92,1,炼石有色
37,光大证券股份有限公司内江公园街证券营业部,7,3195.86,4,4628.77,3,"三圣股份,金溢科技,畅联股份,"
38,国元证券股份有限公司中山体育路证券营业部,1,0.0,0,572.47,1,万泽股份
39,华鑫证券有限责任公司广州广州大道中证券营业部,8,5511.37,2,11308.79,6,"恒银金融,中大力德,太辰光,"
40,华福证券有限责任公司福州广达路证券营业部,2,0.0,0,2248.41,2,"绵石投资,扬子新材"
41,南京证券股份有限公司南京大钟亭证券营业部,33,45511.42,20,23487.6,13,"寒锐钴业,光威复材,中科创达,"
42,国泰君安证券股份有限公司吉林延安街证券营业部,1,0.0,0,201.42,1,炼石有色
43,湘财证券股份有限公司长沙新民路证券营业部,1,0.0,0,371.54,1,万泽股份
44,华西证券股份有限公司成都高升桥路证券营业部,13,7673.12,7,5117.21,6,"安凯客车,三圣股份,杭州园林,"
45,信达证券股份有限公司义乌宾王路证券营业部,4,48.39,3,1910.37,1,"英派斯,电工合金,森霸股份,"
46,湘财证券股份有限公司长沙韶山路证券营业部,6,1668.7,3,3356.31,3,"皮阿诺,元隆雅图,昆百大A"
47,东海证券股份有限公司上海长顺路证券营业部,1,0.0,0,140.04,1,炼石有色
48,国元证券股份有限公司义乌城北路证券营业部,1,0.0,0,1073.99,1,锌业股份
49,中国国际金融股份有限公司大连金马路证券营业部,21,21430.32,14,11538.32,7,"金利科技,凯撒旅游,中大力德,"
50,中信证券股份有限公司杭州市心南路证券营业部,36,26480.62,16,24804.71,20,"华大基因,皮阿诺,雪人股份,"
51,东海证券股份有限公司福建厦门分公司,1,866.78,1,0.0,0,凯撒旅游
52,中信证券（山东）有限责任公司日照泰安路证券营业部,1,0.0,0,910.32,1,凯撒旅游
53,中泰证券股份有限公司威海新威路证券营业部,1,1398.9,1,0.0,0,塔牌集团
54,广发证券股份有限公司梅州梅江二路证券营业部,3,1553.65,2,6.47,1,"塔牌集团,东湖高新,中环环保"
55,安信证券股份有限公司梅州新中路证券营业部,16,7119.06,9,7282.39,7,"新雷能,焦点科技,塔牌集团,"
56,东吴证券股份有限公司苏州石路证券营业部,3,0.0,0,408.09,3,"凯撒旅游,哈三联,新宏泰"
57,广发证券股份有限公司梅州蕉岭证券营业部,4,758.37,1,7046.73,3,"塔牌集团,龙力生物"
58,华泰证券股份有限公司沈阳大西路证券营业部,26,18364.27,15,10613.86,11,"中孚信息,恒银金融,艾德生物,"
59,安信证券股份有限公司揭阳临江北路证券营业部,1,729.01,1,0.0,0,塔牌集团
60,光大证券股份有限公司佛山绿景路证券营业部,16,35277.18,11,20275.61,5,"哈三联,雪人股份,冀东装备,"
61,中国银河证券股份有限公司兰溪三江路证券营业部,2,199.53,1,1636.55,1,"*ST三维,塔牌集团"
62,长江证券股份有限公司佛山普澜二路证券营业部,1,0.0,0,1130.06,1,塔牌集团
63,国泰君安证券股份有限公司福州华林路证券营业部,5,1707.0,2,2704.47,3,"潜能恒信,广和通,塔牌集团,"
64,中邮证券有限责任公司西安电子二路证券营业部,1,0.0,0,857.48,1,塔牌集团
65,中国民族证券有限责任公司深圳高新南一道证券营业部,1,2324.69,1,0.0,0,恒星科技
66,光大证券股份有限公司深圳金田路证券营业部,54,128746.07,33,65037.38,21,"西藏矿业,华大基因,雅化集团,"
67,华泰证券股份有限公司无锡苏锡路证券营业部,5,5665.04,4,4604.61,1,"云铝股份,恒星科技,众泰汽车,"
68,中信证券股份有限公司上海古北路证券营业部,8,15044.81,5,15601.67,3,"用友网络,汉王科技,江丰电子,"
69,申万宏源证券有限公司深圳金田路证券营业部,4,3548.36,2,2536.74,2,"汉王科技,中科信息,智慧农业"
70,中原证券股份有限公司巩义嵩山路证券营业部,1,1452.04,1,0.0,0,恒星科技
71,中国中投证券有限责任公司南京太平南路证券营业部,30,46002.92,16,33606.94,14,"杭州园林,中房地产,贝瑞基因,"
72,海通证券股份有限公司天津霞光道证券营业部,18,23392.92,15,2823.61,3,"江特电机,龙力生物,雅化集团,"
73,国信证券股份有限公司深圳泰然九路证券营业部,78,14431.68,16,31762.78,62,"华大基因,卫宁健康,紫光国芯,"
74,华鑫证券有限责任公司常州晋陵中路证券营业部,13,16173.24,8,8390.22,5,"柳钢股份,博天环境,武汉凡谷,"
75,招商证券股份有限公司上海陆家嘴东路证券营业部,1,0.0,0,1522.37,1,恒星科技
76,华融证券股份有限公司上海黄浦区中山东二路证券营业部,3,490.6,1,1649.74,2,"昭衍新药,恒星科技"
77,华泰证券股份有限公司上海澳门路证券营业部,31,44213.49,16,32607.68,15,"创业黑马,圣达生物,爱乐达,"
78,华安证券股份有限公司武汉沿江大道证券营业部,1,0.0,0,586.49,1,恒星科技
79,平安证券股份有限公司陕西分公司,2,254.64,1,1159.64,1,"大烨智能,汉王科技"
80,中信建投证券股份有限公司北京东直门南大街证券营业部,6,339.44,1,4534.84,5,"龙力生物,科大国创,当升科技,"
81,中国中投证券有限责任公司无锡清扬路证券营业部,54,76931.55,39,29362.86,15,"中科电气,亿纬锂能,雅化集团,"
82,中信建投证券股份有限公司广州云城南三路证券营业部,10,24408.91,8,5305.65,2,"贝瑞基因,中源协和,光威复材,"
83,华泰证券股份有限公司南京中华路证券营业部,6,12935.14,5,399.69,1,"欧比特,天原集团,中科信息,"
84,中泰证券股份有限公司德州三八中路证券营业部,3,2194.44,1,2276.12,2,"江阴银行,银禧科技,生意宝"
85,东方证券股份有限公司桂林中山中路证券营业部,15,19546.79,12,6808.37,3,"奥普光电,广宇集团,章源钨业,"
86,中信证券股份有限公司北京总部证券营业部,6,9577.51,5,17.47,1,"天原集团,融捷股份,神火股份,"
87,国联证券股份有限公司上海邯郸路证券营业部,6,2131.06,3,1365.03,3,"江阴银行,智能自控,科蓝软件,"
88,浙商证券股份有限公司临安万马路证券营业部,28,30728.02,18,17262.23,10,"煌上煌,津膜科技,三圣股份,"
89,国元证券股份有限公司上海虹桥路证券营业部,15,51295.14,10,9718.08,5,"中国中冶,雅化集团,用友网络,"
