,code,name,bamount,bcount,samount,scount,net
0,300502,新易盛,21082.6,9,0.0,0,21082.6
1,000002,万科A,34569.99,3,17159.42,3,17410.57
2,300496,中科创达,22803.18,6,8056.12,2,14747.06
3,000063,中兴通讯,14696.87,2,0.0,0,14696.87
4,000537,广宇发展,11950.46,6,1504.22,1,10446.24
5,000932,*ST华菱,10345.04,3,2971.93,1,7373.11
6,601015,陕西黑猫,12910.33,4,5742.35,2,7167.98
7,300618,寒锐钴业,14913.27,4,8751.67,2,6161.6
8,300224,正海磁材,6014.76,2,0.0,0,6014.76
9,002812,创新股份,16026.13,5,10012.28,3,6013.85
10,300655,晶瑞股份,5199.86,3,666.16,1,4533.7
11,000567,海德股份,5586.56,1,1823.25,1,3763.31
12,601326,秦港股份,3621.41,1,0.0,0,3621.41
13,002709,天赐材料,4656.61,1,1041.09,1,3615.52
14,002509,天广中茂,6160.7,2,2727.84,1,3432.86
15,000596,古井贡酒,8160.66,3,4936.75,5,3223.91
16,002095,生意宝,3157.26,1,0.0,0,3157.26
17,000796,凯撒旅游,4479.58,2,1346.45,2,3133.13
18,600773,西藏城投,3118.54,1,0.0,0,3118.54
19,002668,奥马电器,8596.89,2,5496.31,1,3100.58
20,002386,天原集团,3865.99,1,963.01,1,2902.99
21,000799,酒鬼酒,4642.03,3,1776.6,1,2865.43
22,600136,当代明诚,2857.62,2,0.0,0,2857.62
23,002604,龙力生物,2871.54,2,368.99,1,2502.55
24,601003,柳钢股份,2447.16,1,0.0,0,2447.16
25,002132,恒星科技,2452.39,1,12.34,0,2440.05
26,300221,银禧科技,2436.98,1,0.0,0,2436.98
27,002701,奥瑞金,9733.79,3,7474.22,3,2259.57
28,000797,中国武夷,2247.1,2,0.0,0,2247.1
29,300477,合纵科技,1887.98,1,0.0,0,1887.98
30,300312,邦讯技术,1690.86,1,0.0,0,1690.86
31,300244,迪安诊断,1412.11,1,0.0,0,1412.11
32,300304,云意电气,1385.19,1,0.0,0,1385.19
33,300604,长川科技,4517.04,3,3149.44,1,1367.6
34,002842,翔鹭钨业,1313.56,1,0.0,0,1313.56
35,300581,晨曦航空,1296.39,2,0.0,0,1296.39
36,000301,东方市场,2218.93,5,938.63,5,1280.31
37,603042,华脉科技,1275.27,1,0.0,0,1275.27
38,000980,众泰汽车,894.76,1,0.0,0,894.76
39,300698,万马科技,1442.88,8,724.08,7,718.8
40,002296,辉煌科技,691.03,1,0.0,0,691.03
41,300582,英飞特,649.29,1,0.0,0,649.29
42,002192,融捷股份,7380.15,4,6836.85,3,543.3
43,002882,金龙羽,540.21,1,0.0,0,540.21
44,002829,星网宇达,499.98,1,0.0,0,499.98
45,300141,和顺电气,415.0,1,0.0,0,415.0
46,002056,横店东磁,3999.31,1,3595.82,1,403.49
47,000815,美利云,305.08,1,0.0,0,305.08
48,002895,川恒股份,282.66,3,8.03,3,274.64
49,000671,阳光城,12061.9,3,11789.35,4,272.55
50,300700,岱勒新材,283.83,2,14.05,5,269.78
51,300702,天宇股份,69.75,2,0.0,0,69.75
52,002384,东山精密,3398.7,3,3334.72,2,63.98
53,300703,创源文化,11.0,1,0.0,0,11.0
54,300654,世纪天鸿,18.81,2,8.89,7,9.93
55,600055,万东医疗,2905.03,1,2900.56,2,4.47
56,300706,阿石创,3.16,1,0.0,0,3.16
57,300692,中环环保,1.26,1,0.0,0,1.26
58,300705,九典制药,0.0,0,1.6,1,-1.6
59,603127,昭衍新药,0.0,0,3.39,1,-3.39
60,603183,建研院,0.0,0,4.21,1,-4.21
61,002902,铭普光磁,0.0,0,5.43,2,-5.43
62,002893,华通热力,0.0,0,9.97,4,-9.97
63,603359,东珠景观,0.0,0,13.0,2,-13.0
64,603378,亚士创能,0.0,0,13.04,4,-13.04
65,603500,祥和实业,0.0,0,13.84,4,-13.84
66,603386,广东骏亚,0.0,0,14.01,5,-14.01
67,601086,国芳集团,0.0,0,17.35,7,-17.35
68,603533,掌阅科技,0.0,0,17.69,10,-17.69
69,603367,辰欣药业,0.0,0,19.29,4,-19.29
70,603963,大理药业,0.0,0,19.83,3,-19.83
71,603157,拉夏贝尔,0.0,0,19.84,6,-19.84
72,603363,傲农生物,0.0,0,23.43,11,-23.43
73,300404,博济医药,802.52,1,841.97,2,-39.45
74,002901,大博医疗,0.0,0,40.76,8,-40.76
75,603882,金域医学,0.0,0,42.5,5,-42.5
76,300697,电工合金,664.13,2,721.6,6,-57.47
77,002898,赛隆药业,261.37,1,357.66,5,-96.29
78,000586,汇源通信,0.0,0,142.12,1,-142.12
79,002861,瀛通通讯,373.78,1,516.82,1,-143.03
80,300699,光威复材,93.42,1,242.55,11,-149.13
81,603861,白云电器,0.0,0,196.77,1,-196.77
82,300495,美尚生态,0.0,0,245.87,1,-245.87
83,002897,意华股份,0.0,0,247.64,2,-247.64
84,002900,哈三联,89.09,1,338.48,7,-249.39
85,600556,ST慧球,0.0,0,249.78,1,-249.78
86,002899,英派斯,0.0,0,290.65,3,-290.65
87,002817,黄山胶囊,0.0,0,310.63,1,-310.63
88,603725,天安新材,0.0,0,342.16,5,-342.16
89,000756,新华制药,4301.3,3,4650.28,3,-348.98
90,002432,九安医疗,0.0,0,400.18,1,-400.18
91,002160,常铝股份,0.0,0,427.04,1,-427.04
92,300560,中富通,471.68,1,904.45,1,-432.77
93,603181,皇马科技,0.0,0,455.67,1,-455.67
94,600466,蓝光发展,3135.8,2,3601.88,3,-466.08
95,002703,浙江世宝,0.0,0,482.09,1,-482.09
96,002765,蓝黛传动,0.0,0,500.0,1,-500.0
97,603527,众源新材,0.0,0,508.94,3,-508.94
98,002131,利欧股份,0.0,0,524.38,1,-524.38
99,002109,兴化股份,0.0,0,529.56,1,-529.56
100,002891,中宠股份,0.0,0,564.24,1,-564.24
101,002057,中钢天源,0.0,0,574.36,1,-574.36
102,000868,安凯客车,0.0,0,642.35,2,-642.35
103,002795,永和智控,0.0,0,667.52,1,-667.52
104,002045,国光电器,1187.07,1,1884.27,1,-697.2
105,600558,大西洋,0.0,0,708.02,1,-708.02
106,603321,梅轮电梯,0.0,0,723.31,6,-723.31
107,300649,杭州园林,0.0,0,775.01,1,-775.01
108,002329,皇氏集团,0.0,0,778.58,1,-778.58
109,002136,安纳达,588.41,1,1371.48,1,-783.07
110,002787,华源控股,0.0,0,792.62,2,-792.62
111,300639,凯普生物,0.0,0,820.83,1,-820.83
112,300520,科大国创,246.72,1,1077.19,2,-830.47
113,000791,甘肃电投,0.0,0,833.4,1,-833.4
114,002194,武汉凡谷,0.0,0,844.0,1,-844.0
115,603106,恒银金融,0.0,0,882.32,8,-882.32
116,600367,红星发展,0.0,0,902.66,1,-902.66
117,300554,三超新材,0.0,0,979.5,2,-979.5
118,300379,东方通,263.14,1,1258.03,1,-994.89
119,300334,津膜科技,0.0,0,1050.3,1,-1050.3
120,002183,怡亚通,0.0,0,1062.63,1,-1062.63
121,300631,久吾高科,0.0,0,1108.88,1,-1108.88
122,603612,索通发展,0.0,0,1167.36,1,-1167.36
123,603055,台华新材,0.0,0,1178.57,8,-1178.57
124,600569,安阳钢铁,0.0,0,1225.26,1,-1225.26
125,002742,三圣股份,0.0,0,1328.15,1,-1328.15
126,603648,畅联股份,0.0,0,1381.09,4,-1381.09
127,300134,大富科技,89.41,1,1502.76,1,-1413.35
128,603277,银都股份,0.0,0,1424.99,3,-1424.99
129,300377,赢时胜,0.0,0,1453.39,1,-1453.39
130,300327,中颖电子,0.0,0,1513.17,2,-1513.17
131,000830,鲁西化工,0.0,0,1528.23,1,-1528.23
132,300106,西部牧业,0.0,0,1562.66,1,-1562.66
133,002264,新华都,2362.12,2,3956.3,2,-1594.18
134,600251,冠农股份,0.0,0,1639.66,1,-1639.66
135,300025,华星创业,0.0,0,1717.92,1,-1717.92
136,603016,新宏泰,0.0,0,1830.85,1,-1830.85
137,300273,和佳股份,0.0,0,1835.23,1,-1835.23
138,300450,先导智能,5400.28,2,7297.24,2,-1896.96
139,300458,全志科技,542.16,1,2512.43,2,-1970.26
140,300308,中际旭创,4232.7,1,6275.73,4,-2043.03
141,300696,爱乐达,1058.66,1,3109.03,3,-2050.37
142,002049,紫光国芯,0.0,0,2060.48,2,-2060.48
143,300252,金信诺,0.0,0,2290.67,2,-2290.67
144,002223,鱼跃医疗,0.0,0,2362.21,1,-2362.21
145,002273,水晶光电,5592.33,2,8317.67,2,-2725.34
146,600260,凯乐科技,0.0,0,2925.82,1,-2925.82
147,002826,易明医药,0.0,0,2928.24,3,-2928.24
148,300663,科蓝软件,0.0,0,3031.98,1,-3031.98
149,600277,亿利洁能,0.0,0,3082.23,2,-3082.23
150,603305,旭升股份,0.0,0,3233.66,2,-3233.66
151,300427,红相电力,0.0,0,3439.98,2,-3439.98
152,300198,纳川股份,0.0,0,3447.0,1,-3447.0
153,002338,奥普光电,802.57,1,4484.05,2,-3681.48
154,000957,中通客车,4199.39,3,7919.47,5,-3720.08
155,600418,江淮汽车,0.0,0,3733.7,1,-3733.7
156,300633,开立医疗,0.0,0,3764.6,3,-3764.6
157,300401,花园生物,0.0,0,3797.24,2,-3797.24
158,300209,天泽信息,1087.57,1,4962.07,3,-3874.5
159,002149,西部材料,0.0,0,3890.57,2,-3890.57
160,000829,天音控股,0.0,0,4383.4,1,-4383.4
161,002639,雪人股份,0.0,0,4480.0,1,-4480.0
162,300291,华录百纳,0.0,0,4648.0,2,-4648.0
163,600588,用友网络,7347.73,1,12008.44,3,-4660.71
164,300613,富瀚微,3106.34,3,8105.34,6,-4999.01
165,603959,百利科技,0.0,0,5594.84,1,-5594.84
166,002596,海南瑞泽,0.0,0,5790.6,2,-5790.6
167,300461,田中精机,0.0,0,5857.58,5,-5857.58
168,600884,杉杉股份,4803.21,2,11028.0,1,-6224.79
169,002797,第一创业,0.0,0,6667.79,1,-6667.79
170,002185,华天科技,0.0,0,6804.83,2,-6804.83
