,broker,count,bamount,bcount,samount,scount,top3
0,华鑫证券有限责任公司上海宛平南路证券营业部,5,6239.64,3,3010.41,2,"金利科技,海马汽车,森霸股份,"
1,华鑫证券有限责任公司上海松江证券营业部,2,1201.42,2,0.0,0,"海马汽车,天目湖"
2,国泰君安证券股份有限公司上海江苏路证券营业部,7,1808.13,3,2406.38,4,"当代明诚,海马汽车,梅轮电梯,"
3,方正证券股份有限公司宁波解放北路证券营业部,2,1519.7,2,0.0,0,"甘肃电投,海马汽车"
4,湘财证券股份有限公司娄底氐星路证券营业部,1,590.11,1,0.0,0,海马汽车
5,金元证券股份有限公司上海杨浦区平凉路证券营业部,2,0.0,0,10109.26,2,海马汽车
6,中信建投证券股份有限公司荆州北京西路证券营业部,1,0.0,0,449.16,1,海马汽车
7,海通证券股份有限公司杭州文化路证券营业部,4,2510.26,2,1129.28,2,"北纬科技,美格智能,海马汽车"
8,招商证券股份有限公司中山中山四路证券营业部,1,0.0,0,177.3,1,海马汽车
9,华泰证券股份有限公司上海静安区威海路证券营业部,2,1768.68,2,0.0,0,"迪安诊断,东方市场"
10,国泰君安证券股份有限公司深圳人民南路证券营业部,1,240.8,1,0.0,0,东方市场
11,华鑫证券有限责任公司深圳益田路证券营业部,3,2198.81,2,1118.13,1,"哈三联,东方市场,启迪设计"
12,中信证券股份有限公司上海南京西路证券营业部,1,0.0,0,48.04,1,东方市场
13,中泰证券股份有限公司上海甘河路证券营业部,1,0.0,0,28.91,1,东方市场
14,国海证券股份有限公司柳州北站路证券营业部,3,0.0,0,166.04,3,东方市场
15,东方证券股份有限公司上海浦东新区银城中路证券营业部,2,713.76,1,5515.01,1,"凯撒旅游,富瀚微"
16,中国中投证券有限责任公司青岛延吉路证券营业部,1,180.95,1,0.0,0,凯撒旅游
17,招商证券股份有限公司昆明北京路证券营业部,1,160.92,1,0.0,0,凯撒旅游
18,湘财证券股份有限公司上海陆家嘴证券营业部,3,160.25,1,753.23,2,"凯撒旅游,盐津铺子,建研院"
19,中国中投证券有限责任公司深圳深南大道证券营业部,1,159.35,1,0.0,0,凯撒旅游
20,光大证券股份有限公司南京中山北路证券营业部,1,0.0,0,595.16,1,凯撒旅游
21,中泰证券股份有限公司无锡中山路证券营业部,1,0.0,0,302.41,1,凯撒旅游
22,招商证券股份有限公司北京金融街证券营业部,1,0.0,0,300.62,1,凯撒旅游
23,西藏东方财富证券股份有限公司山南乃东县湖南路证券营业部,3,0.0,0,920.37,3,"万马科技,盐津铺子,凯撒旅游"
24,国泰君安证券股份有限公司吉首人民中路证券营业部,1,0.0,0,212.14,1,凯撒旅游
25,华泰证券股份有限公司成都南一环路第二证券营业部,5,8687.42,3,3220.38,2,"天音控股,二六三,利欧股份"
26,国泰君安证券股份有限公司成都北一环路证券营业部,9,14087.28,9,0.0,0,"金利科技,二六三,红相电力,"
27,中信证券(山东)有限责任公司淄博分公司,7,16029.2,6,1645.61,1,"金域医学,江淮汽车,天玑科技,"
28,渤海证券股份有限公司天津友谊路证券营业部,1,1190.44,1,0.0,0,天音控股
29,中国中投证券有限责任公司西安友谊东路证券营业部,3,3650.09,3,0.0,0,"银江股份,天音控股,二六三"
30,深股通专用,4,2231.16,2,4268.71,2,"智慧农业,新华制药,天音控股,"
31,西南证券股份有限公司北京北三环中路证券营业部,1,0.0,0,567.19,1,天音控股
32,国信证券股份有限公司深圳泰然九路证券营业部,11,6033.71,5,10186.04,6,"卫宁健康,紫光国芯,安凯客车,"
33,国泰君安证券股份有限公司杭州天目山路证券营业部,1,0.0,0,439.85,1,天音控股
34,中信证券股份有限公司上海漕溪北路证券营业部,6,8956.43,4,1812.44,2,"北纬科技,哈三联,银江股份,"
35,华泰证券股份有限公司上海奉贤区望园南路证券营业部,8,10568.91,5,4423.08,3,"新华都,北纬科技,奥联电子,"
36,中泰证券股份有限公司南京中山南路证券营业部,1,1946.57,1,0.0,0,北纬科技
