,code,name,bamount,bcount,samount,scount,net
0,600136,当代明诚,2857.62,2,0.0,0,2857.62
1,300502,新易盛,1413.74,2,0.0,0,1413.74
2,300244,迪安诊断,1412.11,1,0.0,0,1412.11
3,000301,东方市场,2218.93,5,938.63,5,1280.31
4,300141,和顺电气,415.0,1,0.0,0,415.0
5,002861,瀛通通讯,373.78,1,0.0,0,373.78
6,300700,岱勒新材,179.92,1,0.0,0,179.92
7,002384,东山精密,3398.7,3,3334.72,2,63.98
8,300654,世纪天鸿,18.81,2,7.93,6,10.89
9,300706,阿石创,3.16,1,0.0,0,3.16
10,300705,九典制药,0.0,0,1.6,1,-1.6
11,002902,铭普光磁,0.0,0,5.43,2,-5.43
12,603533,掌阅科技,0.0,0,7.2,4,-7.2
13,603378,亚士创能,0.0,0,13.04,4,-13.04
14,603963,大理药业,0.0,0,13.66,1,-13.66
15,601086,国芳集团,0.0,0,17.35,7,-17.35
16,603367,辰欣药业,0.0,0,19.29,4,-19.29
17,603157,拉夏贝尔,0.0,0,19.84,6,-19.84
18,603363,傲农生物,0.0,0,20.06,9,-20.06
19,603882,金域医学,0.0,0,20.97,1,-20.97
20,002901,大博医疗,0.0,0,37.07,7,-37.07
21,300613,富瀚微,1378.73,2,1533.33,2,-154.6
22,603861,白云电器,0.0,0,196.77,1,-196.77
23,002900,哈三联,89.09,1,319.76,4,-230.66
24,002899,英派斯,0.0,0,279.07,1,-279.07
25,000756,新华制药,4301.3,3,4650.28,3,-348.98
26,002432,九安医疗,0.0,0,400.18,1,-400.18
27,300560,中富通,471.68,1,904.45,1,-432.77
28,002131,利欧股份,0.0,0,524.38,1,-524.38
29,300520,科大国创,246.72,1,832.01,1,-585.29
30,603321,梅轮电梯,0.0,0,704.73,2,-704.73
31,002136,安纳达,588.41,1,1371.48,1,-783.07
32,000791,甘肃电投,0.0,0,833.4,1,-833.4
33,603106,恒银金融,0.0,0,851.71,4,-851.71
34,603055,台华新材,0.0,0,1166.43,5,-1166.43
35,603612,索通发展,0.0,0,1167.36,1,-1167.36
36,600055,万东医疗,0.0,0,1309.73,1,-1309.73
37,300106,西部牧业,0.0,0,1562.66,1,-1562.66
38,300273,和佳股份,0.0,0,1835.23,1,-1835.23
39,002049,紫光国芯,0.0,0,2060.48,2,-2060.48
40,002264,新华都,1662.08,1,3956.3,2,-2294.22
41,002223,鱼跃医疗,0.0,0,2362.21,1,-2362.21
42,000807,云铝股份,0.0,0,3258.25,1,-3258.25
43,300427,红相电力,0.0,0,3439.98,2,-3439.98
44,600418,江淮汽车,0.0,0,3733.7,1,-3733.7
45,300633,开立医疗,0.0,0,3764.6,3,-3764.6
46,000829,天音控股,0.0,0,4383.4,1,-4383.4
47,300291,华录百纳,0.0,0,4648.0,2,-4648.0
48,000572,海马汽车,0.0,0,9147.5,3,-9147.5
49,600654,*ST中安,0.0,0,17365.58,3,-17365.58
50,300340,科恒股份,16812.18,3,36166.44,4,-19354.26
51,000725,京东方A,0.0,0,52129.04,2,-52129.04
