,broker,count,bamount,bcount,samount,scount,top3
501,渤海证券股份有限公司苏州景德路证券营业部,1,0.0,0,0.96,1,阿石创
502,长城国瑞证券有限公司成都星辉中路证券营业部,1,0.0,0,0.96,1,阿石创
503,方正证券股份有限公司北京安定门外大街证券营业部,1,0.0,0,0.96,1,阿石创
504,海通证券股份有限公司兰州万新南路证券营业部,1,0.0,0,0.96,1,阿石创
505,恒泰证券股份有限公司北京东三环中路证券营业部,1,0.0,0,0.96,1,阿石创
506,中信证券股份有限公司上海张江园区证券营业部,2,36.16,2,0.0,0,傲农生物
507,申万宏源西部证券有限公司乌鲁木齐和平北路证券营业部,1,0.0,0,0.92,1,傲农生物
508,申万宏源西部证券有限公司沈阳十一纬路证券营业部,1,0.0,0,0.92,1,傲农生物
509,渤海证券股份有限公司北京西外大街证券营业部,1,0.0,0,0.92,1,傲农生物
510,东北证券股份有限公司白城中兴东大路证券营业部,1,845.12,1,0.0,0,元成股份
511,长城证券股份有限公司天台劳动路证券营业部,1,397.99,1,0.0,0,元成股份
512,中信证券股份有限公司上海中信广场证券营业部,1,307.48,1,0.0,0,元成股份
513,东兴证券股份有限公司厦门鹭江道证券营业部,3,4226.76,2,1827.06,1,广东骏亚
514,中国中投证券有限责任公司天津南马路证券营业部,1,259.89,1,0.0,0,元成股份
515,中国银河证券股份有限公司青田涌金街证券营业部,1,0.0,0,1075.5,1,元成股份
516,英大证券有限责任公司深圳横岗证券交易营业部,5,1844.0,3,710.72,2,"四通股份,西部牧业,辰欣药业"
517,方正证券股份有限公司六盘水青峰路证券营业部,2,752.32,1,632.66,1,广东骏亚
518,海通证券股份有限公司南京常府街证券营业部,2,515.75,1,1060.01,1,"万马科技,元成股份"
519,中信证券(山东)有限责任公司青岛辽宁路证券营业部,1,302.58,1,0.0,0,四通股份
520,兴业证券股份有限公司广州科学大道证券营业部,1,295.45,1,0.0,0,四通股份
521,中泰证券股份有限公司荣成成山大道证券营业部,1,0.0,0,105.57,1,四通股份
522,华宝证券有限责任公司上海东大名路证券营业部,2,0.0,0,226.02,2,"爱司凯,四通股份"
523,广发证券股份有限公司深圳深南东路证券营业部,1,0.0,0,90.13,1,四通股份
524,中信建投证券股份有限公司潮州市潮枫路证券营业部,1,0.0,0,86.26,1,四通股份
525,宏信证券有限责任公司成都天府大道北段营业部,2,2762.96,2,0.0,0,"红相电力,旭光股份"
526,国泰君安证券股份有限公司上海天山路证券营业部,2,831.92,1,1153.41,1,"旭光股份,纵横通信"
527,国盛证券有限责任公司南昌朝阳中路证券营业部,1,0.0,0,737.66,1,旭光股份
528,东北证券股份有限公司南京标营路证券营业部,1,0.0,0,596.69,1,旭光股份
529,广发证券股份有限公司上海吴兴路证券营业部,1,0.0,0,466.95,1,旭光股份
530,国海证券股份有限公司南宁新民路证券营业部,1,0.0,0,336.87,1,旭光股份
