code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
1,平安银行,1.32,-15.38,13.18,2259900.0,3.36,20.98,27.6461,107715.0,6.2732,,,,,,,,3.3569999999999998,25.1833,17.8005,-15.3846,25.1833
2,万科A,1.9,15.85,19.68,2102260.63,16.02,8.74,29.4144,240477.2369,21.784000000000002,104.8766,3.4326,0.4063,886.0448,0.3792,949.3671,22.9754,9.2519,18.6098,35.8875,15.8537,13.237
4,国农科技,0.47,3040.94,38.84,3929.93,3051.21,13.66,34.6221,287.67,3.4255,167.6045,2.1479,1.4667,245.449,1.2487,288.2998,138.8206,479.1955,9.1269,-43.8848,3040.9396,48.2063
5,世纪星源,0.1,-272.15,8.94,10865.74,-296.7,22.54,30.1622,481.8634,0.4552,4.0856,88.1144,0.9275,388.1402,0.562,640.5694,,,,,,
6,深振业A,0.58,86.82,16.56,77858.09,86.82,23.18,29.1261,3358.8264,2.488,300.3497,1.1986,0.2956,1217.862,0.3117,1154.9567,-8.0859,83.2047,14.1209,3.6752,86.8157,13.9323
7,全新好,0.34,457.43,19.13,7801.9,457.43,200.76,66.1915,38.8604,0.1682,2.3401,153.8396,1.6911,212.8792,0.1465,2457.3379,-60.7318,516.1247,17.2719,7.0786,457.4257,0.342
8,神州高铁,0.19,146.15,9.37,52186.62,181.07,27.81,52.7716,1876.0065,0.6678,1.5574,231.1545,1.9859,181.278,0.6183,582.2416,44.8569,179.36599999999999,112.2543,128.2487,146.1538,110.209
9,中国宝安,0.11,-78.0,5.2,23338.39,-70.42,3.63,30.6634,6411.7494,2.9831,5.2849,68.1186,0.635,566.9291,0.4815,747.6636,31.7839,-56.5708,23.4013,19.3654,-78.0,0.0116
10,美丽生态,0.05,-10.33,1.81,3987.71,19.24,3.78,27.5515,1053.5294,1.285,2.6595,135.3638,0.4716,763.3588,0.3254,1106.3307,10.0431,19.9964,1.8004,-5.9694,-10.3321,1.8499
11,深物业A,0.6,126.3,15.79,35485.72,126.28,17.23,57.6276,2059.2041,3.4551,58.553000000000004,6.1483,0.3454,1042.2698,0.4432,812.2744,91.1239,126.2832,14.7816,51.9341,126.3018,14.7877
12,南玻A,0.38,26.67,10.32,79772.16,27.69,8.88,26.8759,8974.0834,4.3241,16.6041,21.6814,15.8468,22.7175,3.8532,93.4288,20.7673,25.6933,3.2399,9.617,26.6667,-0.7871
14,沙河股份,0.14,-46.0,3.95,2859.68,-46.01,4.6,20.9055,620.7572,3.0775,217.5414,1.6549,0.307,1172.6384,0.3376,1066.3507,50.2267,-45.4928,2.801,-13.6696,-46.0015,2.9555
16,深康佳A,0.04,-107.61,3.35,9567.3,-107.61,0.47,13.7,20299.3481,8.4301,9.3185,38.6328,4.8866,73.6709,1.6939,212.5273,10.3515,,7.9029,21.0012,-107.6068,3.0948
17,深中华A,0.0,-1666.67,19.93,260.36,-1981.84,1.83,11.0778,141.9705,0.2574,13.1657,27.3438,35.1864,10.2312,3.2521,110.6977,,,,,,
18,神州长城,0.28,-81.33,31.18,47366.19,36.64,10.15,25.844,4664.9991,2.7469,1.535,234.5277,13.8088,26.0703,0.8273,435.1505,16.3237,36.4024,42.9458,98.7866,-81.3333,38.6577
19,深深宝A,0.21,-282.66,9.82,9662.07,-374.05,35.34,25.1423,273.3836,0.6053,3.9469,91.2108,1.2921,278.6162,0.5199,692.4409,,,,,,
20,深华发A,0.02,-181.09,1.72,545.77,-181.08,0.88,13.6362,619.1678,2.1866,4.9578,72.6129,14.4456,24.9211,0.9449,380.9927,23.9685,,2.6628,-45.2444,-181.0924,2.6628
21,深科技,0.15,18.65,4.07,21442.35,18.69,1.42,5.6719,15069.1705,10.2423,7.7974,46.1692,15.3541,23.4465,1.6979,212.0266,-1.905,23.8461,1.7605,-18.2747,18.6482,1.0504
22,深赤湾A,0.83,0.85,11.64,53237.65,0.88,27.94,44.8605,1905.1071,2.9547,10.4979,34.2926,65.5073,5.4956,2.4044,149.7255,1.7355,2.6247,7.7961,-4.2422,0.8547,6.0865
23,深天地A,0.07,-62.77,2.58,995.22,-62.77,0.98,12.9775,1009.9604,7.2786,1.5149,237.6394,2.0148,178.6778,0.7288,493.9627,-2.6829,-40.57,2.0272,-3.3145,-62.7726,0.8326
25,特力A,0.09,-40.51,3.08,2719.36,-36.42,8.38,29.3603,324.2408,1.0906,959.5934,0.3752,16.8474,21.3683,0.9207,391.0068,6.7541,-35.3786,3.4086,1.7399,-40.5072,3.1323
26,飞亚达A,0.25,-18.62,4.74,11066.27,-9.07,3.69,40.7852,2993.8646,6.8237,9.7935,36.7591,0.8669,415.2728,1.002,359.2814,-5.3233,-9.5612,3.1317,-5.6932,-18.6189,3.1382
27,深圳能源,0.34,-24.44,6.02,134707.03,-24.76,11.9,28.9318,11318.1122,2.8548,3.5604,101.1122,5.6495,63.7225,0.7797,461.716,1.6903,-31.6402,-0.1617,4.813,-24.4444,-0.4758
28,国药一致,2.8,33.33,15.06,118660.19,55.86,2.87,11.1524,41248.4293,113.7473,5.9745,60.2561,11.1348,32.3311,2.8551,126.0902,58.6897,62.8099,60.137,61.2361,33.3333,54.9521
29,,,,,,,13.24,29.0549,2352.0235,2.3249,21.3005,16.901,0.86,418.6047,0.6911,520.9087,8.7206,3.4632,14.1832,-9.434,3.4599,13.3875
30,富奥股份,0.52,33.33,13.73,67671.17,34.48,11.55,18.6089,5856.9376,4.5288,4.6487,77.441,7.7967,46.1734,1.4423,249.6013,35.2169,28.8932,8.8605,12.2148,33.3333,10.4525
31,中粮地产,0.4,0.0,11.61,72015.39,-0.23,3.99,34.2643,18025.1915,9.9381,96.5449,3.7288,0.3468,1038.0623,0.3538,1017.5239999999999,33.5245,33.1831,1.8188,10.7649,0.0,-1.4458
32,深桑达A,0.14,-10.13,4.32,6071.29,11.21,3.05,13.9666,1987.3043,4.7064,9.2038,39.1143,5.7214,62.9217,1.3684,263.08099999999996,0.8754,-7.4895,2.7264,-8.0124,-10.125,4.0648
34,,,,,,,0.99,4.8774,40531.1235,61.9675,12.199000000000002,29.5106,16.4777,21.8477,5.0817,70.8424,8748.3663,1785.4053,1317.4734,3702.8692,1016.6667,1316.1312
