code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
1,平安银行,0.43,4.88,3.7,608600.0,8.12,22.1,29.1079,27532.0,1.9241,,,,,,,,8.1187,37.2081,16.3304,4.878,37.2081
2,万科A,0.08,27.12,0.83,83323.29,28.14,5.7,31.781,14611.312,1.3235,7.0782,12.7151,0.0255,3529.4118,0.0257,3501.9455,64.2766,37.6418,19.4016,25.2446,27.1186,13.2312
4,国农科技,-0.03,28.96,-2.98,-239.25,29.07,-17.74,22.7982,13.4809,0.1605,9.6967,9.2815,0.0407,2211.3022,0.0405,2222.2222,-35.6129,,3.0939,19.9455,28.9593,0.9035
5,,,,,,,-15.66,49.7431,43.4215,0.040999999999999995,0.5852,153.7936,0.0754,1193.634,0.059000000000000004,1525.4237,221.9908,,82.3896,55.2917,-27.2727,72.5852
6,深振业A,0.04,-75.77,1.11,4880.83,-75.79,12.76,44.3141,382.48699999999997,0.2833,26.7737,3.3615,0.0256,3515.625,0.0366,2459.0164,-72.4677,-76.282,2.6796,5.0292,-75.7697,2.4057
7,全新好,0.03,-257.35,2.05,766.45,-257.5,92.99,70.102,8.242,0.0356,0.2604,345.6221,0.1604,561.0973,0.0277,3249.0975,,,,,,
8,,,,,,,5.45,47.8978,212.6666,0.0771,0.2243,401.2483,0.2666,337.5844,0.0896,1004.4643,-7.8646,-79.5468,95.7823,98.803,-96.2141,101.6904
9,中国宝安,0.02,-33.33,0.67,3013.91,-45.77,2.18,35.1916,1379.8322,0.8666,1.2475,72.1443,0.14300000000000002,629.3706,0.1095,821.9178,52.7519,1.8531,21.1814,24.9243,-33.3333,19.8674
10,美丽生态,-0.04,978.38,-1.51,-3270.67,1407.81,-26.97,26.8444,121.2546,0.1478,0.2976,302.4194,0.0655,1374.0458,0.0396,2272.7273,-20.72,,291.4749,412.0627,978.3784,293.7114
11,深物业A,0.0,66.67,0.03,57.7,61.92,0.29,22.2232,196.0793,0.32899999999999996,5.2619,17.1041,0.0606,1485.1485,0.0476,1890.7563,44.9527,61.92,1.2176,39.6684,66.6667,1.2181
12,南玻A,0.1,152.53,2.57,20483.55,149.19,10.5,26.2952,1949.4218,0.9393,3.6927,24.3724,3.8107,23.6177,0.9638,93.3804,26.6511,128.0731,-8.2024,-1.0144,152.5253,-4.8583
14,沙河股份,-0.02,-1511.76,-0.68,-484.91,-1541.46,-14.98,27.5343,32.3518,0.1603,6.7834,13.2677,0.013000000000000001,6923.0769,0.0163,5521.4724,-10.9239,-927.0853,6.0993,1.3529,-1511.7647,6.5959
16,深康佳A,0.0,-45.31,0.3,842.95,8.73,0.2,19.0826,4072.3113,1.6911,1.9569999999999999,45.9888,1.1769,76.4721,0.3946,228.0791,-10.8738,211.0554,-31.7833,-15.380999999999998,-45.3125,-31.3251
17,深中华A,0.0,-40.0,1.24,14.64,-46.26,0.66,8.0361,21.9993,0.0399,2.3799,37.8167,1.9896,45.2352,0.4433,203.0228,-1.4653,-46.224,-2.0779,1.4408,-40.0,-2.1706
18,,,,,,,8.28,21.5841,924.6672,2.069,0.3617,248.825,5.8591,15.3607,0.2304,390.625,,,,,,
19,深深宝A,-0.02,-35.13,-0.66,-618.31,-35.11,-8.51,21.0804,72.5745,0.24100000000000002,1.0501,85.7061,0.3109,289.4821,0.1564,575.4476,21.7303,,-4.1514,-1.3134,-35.1266,-3.3194
20,深华发A,0.0,-5.56,0.15,46.99,-8.19,0.34,14.7331,137.6992,0.4862,0.9361,96.1436,3.8016,23.6742,0.2004,449.1018,17.1778,-8.1891,11.8807,-46.966,-5.5556,11.8807
21,深科技,0.1,161.32,2.86,15102.5,191.35,4.22,5.0788,3575.3044,2.43,2.1821,41.2447,4.1579,21.6455,0.387,232.5581,-12.2452,183.4263,0.9424,-16.2149,161.3232,2.747
22,深赤湾A,0.19,18.24,2.69,12122.1,18.17,27.46,46.3872,441.4147,0.6846,1.9428,46.3249,13.7791,6.5316,0.4581,196.4637,8.1966,15.7011,7.4613,-0.8946,18.239,8.1042
23,,,,,,,-0.23,14.0887,178.7134,1.2879,0.2663,337.9647,0.326,276.0736,0.1308,688.0734,8.5183,,5.9933,5.6134,-70.0,6.4295
25,特力A,0.02,546.87,0.71,616.22,681.98,7.72,26.2272,79.7209,0.2681,49.085,1.8336,4.5275,19.8785,0.2341,384.4511,-1.9247,1336.3099,5.7985,-19.4721,546.875,5.8271
26,,,,,,,3.71,40.507,732.9615,1.6705,2.2505,39.9911,0.2115,425.5319,0.2384,377.5168,-18.0184,-39.9287,38.6327,3.8676,-45.5263,38.6933
27,,,,,,,10.1,25.9372,2019.2577,0.5093,0.6886,130.7,1.113,80.8625,0.1296,694.4444,-17.8725,-48.5306,17.3457,48.0359,-62.626999999999995,18.0068
28,国药一致,0.55,1.1,3.58,19902.75,1.02,2.82,7.5685,7053.8465,19.4518,1.032,87.2093,2.7313,32.9513,0.6031,149.22899999999998,12.6504,1.4228,14.1779,5.7695,1.105,13.9218
29,深深房A,0.03,25.2,1.33,3113.84,24.96,,,,,3.3154,27.146,0.1201,749.3755,0.0916,982.5328,3.5660000000000003,24.8923,8.3931,-2.9730000000000003,25.2033,7.9471
30,富奥股份,0.12,0.0,3.29,15671.3,-3.36,12.14,18.0935,1290.6688,0.998,1.1019,81.6771,1.7895,50.2934,0.3413,263.6976,10.3328,-8.4235,10.6214,11.4851,0.0,8.3645
31,中粮地产,0.11,175.0,3.14,19047.47,164.82,5.98,35.7825,3182.2494,1.7545,19.6118,4.5891,0.0544,1654.4118,0.0627,1435.4067,390.0635,690.8249,6.4742,23.9188,175.0,3.2319
32,,,,,,,3.4,11.7277,505.0797,1.4353,2.3406,38.4517,1.5782,57.027,0.349,257.8797,74.3754,,48.1357,45.6692,2400.0,56.6181
34,神州数码,-0.01,-120.31,-0.65,-591.9,-125.75,-6.55,11.3398,90.3535,0.1381,0.0367,2452.3161,0.0317,2839.1167,0.0117,7692.3077,-7.2169,-125.7483,1151.6292,3633.1753,-120.3125,1151.6292
35,中国天楹,0.06,-14.29,1.93,3615.37,1.38,22.19,55.4643,162.8671,0.2629,1.011,89.0208,0.9954,90.4159,0.2507,358.9948,36.1435,1.382,13.7943,10.1788,-14.2857,13.7943
36,,,,,,,195.93,47.2379,47.4893,0.0416,15.1767,5.9301,0.006,15000.0,0.0079,11392.4051,,,,,,
37,深南电A,-0.08,-46.67,-7.89,-4628.35,-47.67,-18.93,3.5654,244.3696,0.4054,0.5214,172.6122,0.3483,258.3979,0.0867,1038.0623,-5.5345,,-61.6421,-13.085999999999999,-46.6667,-50.1143
38,深大通,0.22,-3800.0,3.07,3556.84,-6560.94,21.43,45.2704,165.923,0.8638,1.5224,59.1172,0.1535,586.3192,0.1657,543.1503,199.9884,,1374.8381,466.2708,-3800.0,1835.6919
39,中集集团,0.13,-30.63,1.44,41044.4,-17.49,3.94,19.9478,10412.416,3.4961,1.0082,89.26799999999999,0.5101,176.43599999999998,0.2295,392.1569,-28.5873,-9.5274,30.0162,21.2998,-30.6287,27.1977
40,东旭蓝天,0.06,357.14,2.23,2987.31,360.25,4.95,23.939,603.2569,1.2846,22.8864,3.9325,0.1425,631.5789,0.0949,948.3667,202.5512,360.6317,6.3198,58.1636,357.1429,6.3186
42,,,,,,,2.34,20.7974,1906.2878,2.8662,20.6056,4.3677,0.0865,1040.4624,0.0869,1035.6732,-7.153,-90.7636,49.2087,71.1301,-92.9105,50.7017
43,中航地产,-0.23,129.62,-4.04,-15668.0,129.7,-13.31,14.9197,1176.3578,1.7637,2.5172,35.754,0.092,978.2609,0.0829,1085.6454,64.2301,,7.1293,11.3004,129.6188,10.5265
45,深纺织A,-0.02,-332.56,-0.47,-1024.65,-336.11,-3.9,8.9838,262.3104,0.5178,1.4366,62.6479,0.8209,109.6358,0.1444,623.2687,-13.3533,-336.1093,-0.9738,0.5694,-332.5581,-0.9738
46,泛海控股,0.04,-34.98,1.34,18337.06,-28.92,4.51,37.3205,4061.9217,0.7817,2.4171,37.2347,0.0472,1906.7797,0.0385,2337.6623,372.7056,-50.1543,63.7976,61.0545,-34.9823,70.4056
48,,,,,,,2.34,21.6144,319.007,0.8163,6.9891,12.8772,1.1898,75.643,0.27899999999999997,322.5806,-12.9322,14.4789,30.2385,-11.2542,25.4902,36.3631
49,德赛电池,0.19,-34.24,4.09,3887.07,-34.25,2.55,9.7331,1521.8646,7.4149,1.1692,76.9757,2.5379,35.4624,0.5643,159.4896,-16.5896,-38.66,28.7958,-18.1616,-34.2361,21.1201
50,深天马A,0.06,-43.17,0.68,9088.55,-29.68,3.7,19.5061,2451.5402,1.7497,1.3024,69.1032,1.499,60.04,0.2336,385.274,0.46399999999999997,-27.4527,53.8853,18.7821,-43.1699,61.5074
55,方大集团,0.03,46.34,1.67,2218.88,43.11,4.73,16.5813,469.1034,0.6197,0.3281,274.3066,0.2808,320.5128,0.1368,657.8947,-1.922,37.4149,2.9163,26.686999999999998,46.3415,7.2627
56,皇庭国际,0.04,77.5,0.41,2039.83,263.36,30.78,72.2541,66.258,0.1154,1.4563,61.8005,26.9835,3.3354,0.2934,306.7485,-31.8617,112.9239,71.0375,6.5234,77.5,163.1962
58,深赛格,0.02,-17.28,1.19,1769.61,-17.11,9.25,24.9494,191.1269,0.2435,1.9487,46.1846,0.2922,308.0082,0.1406,640.1138,0.0512,0.1781,12.1224,2.4263,-17.2794,13.0538
59,华锦股份,0.29,-419.89,5.07,46054.59,-410.3,7.28,25.1112,6322.4049,3.9528,20.7255,4.3425,1.778,50.6187,0.6852,131.3485,,,,,,
60,中金岭南,-0.02,-171.43,-0.72,-5291.26,-190.9,-1.8,4.7401,2928.9596,1.3237,7.1644,12.5621,1.393,64.6088,0.5711,157.5906,3.8171,-188.9837,1.35,0.5013,-171.4286,0.7478
61,农产品,0.0,-175.0,0.09,411.02,-174.84,0.86,40.9333,475.7635,0.2803,7.2701,12.3795,0.5523,162.9549,0.1526,589.7772,27.2719,369.6373,0.2535,14.7929,-175.0,-0.7883
62,深圳华强,0.08,5.13,1.62,5888.11,13.18,5.73,21.116999999999997,1025.8686,1.4222,1.5028,59.8882,1.0576,85.0983,0.3585,251.046,274.6935,18.3224,51.0919,47.8607,5.1282,51.8158
63,中兴通讯,0.23,-4.17,3.18,94951.0,7.54,4.34,34.676,21858.509,5.2627,0.8358,107.6813,0.6878,130.852,0.2136,421.3483,4.0941,23.2184,25.2594,20.0424,-4.1667,-9.1771
65,北方国际,0.12,33.33,1.62,3172.78,45.27,3.12,9.5151,1016.4084,3.7044,0.9248,97.3183,2.2242,40.464,0.1719,523.5602,110.7548,36.2985,82.2561,46.6771,33.3333,101.2554
66,,,,,,,-0.12,10.8022,15544.6544,11.7442,1.4239,63.2067,1.6834,53.4632,0.5329,168.8872,-0.3893,,2.4621,-1.2235,-77.5229,1.9201
68,华控赛格,-0.01,15.18,-2.14,-1298.69,19.9,-69.16,25.9345,18.7757,0.0186,0.1784,504.4843,1.5617,57.6295,0.0504,1785.7143,118.9736,,3.6888,10.0238,15.1786,0.4209
69,华侨城A,0.07,3.1,1.57,60086.14,16.43,10.92,46.8968,5500.3503,0.6703,10.4584,8.6055,0.0564,1595.7447,0.0656,1371.9512,32.55,16.0472,29.7375,26.9272,3.0986,33.9788
70,特发信息,0.11,124.14,2.22,3492.39,159.27,3.38,14.946,1031.2398,3.2894,0.8676,103.7344,0.9207,97.7517,0.361,249.3075,116.766,138.8579,46.4003,60.9737,124.1449,46.7441
78,海王生物,0.05,43.09,2.16,3935.15,42.85,1.25,12.3474,3128.1961,4.1569,0.5684,158.3392,2.6056,34.541,0.2698,333.5804,17.0016,7.3821,20.9125,23.4697,43.0851,27.0429
88,盐田港,0.04,4.17,1.35,7492.82,0.45,120.53,56.2934,62.165,0.032,,,,,,,-0.4832,3.7592,9.4911,10.7838,4.1667,7.3455
89,深圳机场,0.07,19.71,1.3,13339.02,45.28,18.29,28.0604,729.0593,0.3555,1.7707,50.8274,114.9737,0.7828,0.3126,287.9079,0.5262,44.0099,29.6043,-1.3199,19.7053,29.5459
90,天健集团,0.05,-42.15,0.73,4230.25,-10.39,3.48,21.3007,1214.2857,1.4192,2.7263,33.0118,0.1142,788.0911,0.0909,990.0989999999999,5.8503,-10.9957,53.409,41.266999999999996,-42.1546,52.6637
96,,,,,,,3.93,17.0244,205.9124,0.3899,56.2278,1.6006,5.7176,15.7409,0.1593,564.9718,-18.6368,-93.5572,0.3946,-4.5496,-92.3839,0.36
99,中信海直,0.03,-49.32,0.65,1818.34,-49.32,7.27,18.9802,249.9206,0.4123,0.6884,130.7379,0.5089,176.852,0.1824,493.4211,-10.0778,-47.1733,2.675,7.5816,-49.3243,2.5895
100,TCL集团,0.02,-68.95,1.06,26057.66,-65.45,1.11,14.9315,23399.1094,1.9158,1.743,51.6351,2.1497,41.8663,0.4027,223.4914,0.3815,-63.8111,23.7446,15.2789,-68.9504,4.6514
150,宜华健康,2.15,25792.77,36.74,96239.06,26198.63,451.26,31.5599,213.2635,0.4762,0.8132,110.6739,0.1228,732.8989999999999,0.0601,1497.5042,17.9688,25442.8018,54.9842,19.5127,25792.7711,54.7711
151,中成股份,0.08,1.24,2.37,2414.32,1.24,7.57,17.2588,318.5502,1.0762,6.0946,14.7672,3.1469,28.5996,0.1379,652.6468,15.1425,1.4209,2.309,-9.418,1.2407,2.3467
153,,,,,,,1.52,26.0277,426.4974,1.3663,1.006,89.4632,1.147,78.4656,0.4281,210.2313,8.6465,7.4337,1.4445,8.6606,8.3333,1.6709
155,,,,,,,-41.9,1.7723,82.5115,0.1755,2.313,38.9105,2.4326,36.9975,0.28,321.4286,20.2615,,,-48.8873,-36.3636,66.6167
156,华数传媒,0.1,-9.09,1.58,14694.66,12.02,21.81,45.6653,673.7496,0.47,1.3037,69.0343,7.5635,11.8993,0.0888,1013.5135,8.1607,11.9855,302.2837,128.4587,-9.0909,303.5272
