code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,name-2015-1,eps-2015-1,eps_yoy-2015-1,bvps-2015-1,roe-2015-1,epcf-2015-1,net_profits-2015-1,profits_yoy-2015-1,distrib-2015-1,report_date-2015-1,name-2015-2,eps-2015-2,eps_yoy-2015-2,bvps-2015-2,roe-2015-2,epcf-2015-2,net_profits-2015-2,profits_yoy-2015-2,distrib-2015-2,report_date-2015-2,name-2015-3,eps-2015-3,eps_yoy-2015-3,bvps-2015-3,roe-2015-3,epcf-2015-3,net_profits-2015-3,profits_yoy-2015-3,distrib-2015-3,report_date-2015-3,name-2015-4,eps-2015-4,eps_yoy-2015-4,bvps-2015-4,roe-2015-4,epcf-2015-4,net_profits-2015-4,profits_yoy-2015-4,distrib-2015-4,report_date-2015-4,name-2016-1,eps-2016-1,eps_yoy-2016-1,bvps-2016-1,roe-2016-1,epcf-2016-1,net_profits-2016-1,profits_yoy-2016-1,distrib-2016-1,report_date-2016-1,name-2016-2,eps-2016-2,eps_yoy-2016-2,bvps-2016-2,roe-2016-2,epcf-2016-2,net_profits-2016-2,profits_yoy-2016-2,distrib-2016-2,report_date-2016-2,name-2016-3,eps-2016-3,eps_yoy-2016-3,bvps-2016-3,roe-2016-3,epcf-2016-3,net_profits-2016-3,profits_yoy-2016-3,distrib-2016-3,report_date-2016-3,name-2016-4,eps-2016-4,eps_yoy-2016-4,bvps-2016-4,roe-2016-4,epcf-2016-4,net_profits-2016-4,profits_yoy-2016-4,distrib-2016-4,report_date-2016-4
300140,中环装备,电气设备,陕西,0.0,2.42,3.45,116114.97,66846.77,25517.18,37564.4,1.09,-0.012,3.14,5.34,20101112,11263.24,0.33,6.4,-70.21,31.6,-2.17,24286,中环装备,0.0,-99.16,6.47,0.0,-0.01,1.0,-99.31,,04-23,中环装备,0.0,-93.0,3.19,0.04,-0.03,33.12,-87.16,,08-22,中环装备,-0.01,-127.22,3.17,-0.3,0.01,-238.57,-154.26,,10-27,中环装备,0.03,-60.69,,0.85,,668.79,-21.31,10派0.5,02-25,,,,,,,,,,,中环装备,-0.01,-521.43,3.15,-0.19,0.1,-144.64,-536.77,,08-12,,,,,,,,,,,,,,,,,,,,
002126,银轮股份,汽车配件,浙江,27.44,6.09,7.21,453321.25,212528.25,99534.53,44640.3,0.62,0.247,3.04,2.98,20070418,91986.35,1.28,7.3,26.07,27.52,8.11,49377,银轮股份,0.16,33.33,,3.35,,5088.75,29.91,,04-29,,,,,,,,,,,银轮股份,0.4,17.65,,7.97,,14149.38,28.21,,10-31,银轮股份,0.57,23.91,,11.03,,20039.7,31.88,10派0.6转10,04-08,,,,,,,,,,,银轮股份,0.16,-46.67,,5.63,,11800.11,12.97,,08-26,银轮股份,0.25,-37.5,,8.4,,17838.58,26.07,,10-28,,,,,,,,,,
002584,西陇科学,化工原料,广东,76.64,2.59,5.85,230862.7,137418.42,44810.93,68319.11,1.17,0.19,2.89,4.98,20110602,40809.62,0.7,7.89,12.39,18.66,4.73,22801,西陇科学,0.06,-14.29,,1.16,,1286.6,-10.29,,04-28,西陇科学,0.24,14.29,,4.21,,4760.64,15.02,,08-26,西陇科学,0.35,20.69,,5.83,,7337.71,25.08,,10-30,西陇科学,0.43,10.26,,6.85,,9079.34,17.11,10转15派1,03-24,西陇科学,0.07,16.67,,0.93,,1605.11,24.76,,04-27,西陇科学,0.16,-33.33,,3.17,,5523.5,16.02,,08-19,西陇科学,0.19,-45.71,,4.78,,8246.87,12.39,,10-22,,,,,,,,,,
300122,智飞生物,生物制药,重庆,3068.69,8.63,16.0,263095.28,113474.85,60383.13,20796.47,0.13,0.004,1.56,11.09,20100928,60421.76,0.38,-50.79,-95.79,92.73,2.47,12761,智飞生物,0.06,-45.45,3.13,1.92,-0.08,4770.84,12.01,,04-21,,,,,,,,,,,智飞生物,0.2,17.65,3.05,6.41,-0.05,16049.5,17.23,,10-27,智飞生物,0.25,31.58,,7.94,,19740.19,33.38,10派1转10,03-01,,,,,,,,,,,智飞生物,0.01,-92.86,1.56,0.48,-0.01,1203.89,-88.87,,08-16,智飞生物,0.0,-97.9,,0.27,,676.13,-95.79,,10-20,,,,,,,,,,
002705,新宝股份,家用电器,广东,23.9,1.64,5.75,556015.06,370385.0,133944.95,57803.46,1.01,0.569,4.44,4.08,20140121,121511.15,2.11,7.76,47.24,20.89,6.28,15850,新宝股份,0.07,41.8,,1.46,,3208.28,41.74,,04-27,,,,,,,,,,,新宝股份,0.5,41.24,,9.86,,22206.14,44.01,,10-30,新宝股份,0.64,31.0,,12.51,,28352.18,32.89,10派3转3,04-26,,,,,,,,,,,,,,,,,,,,,新宝股份,0.57,13.26,,13.21,,32696.52,47.24,,10-25,,,,,,,,,,
600983,惠而浦,家用电器,安徽,25.66,5.33,7.66,850750.19,694372.5,85948.86,171083.8,2.23,0.325,6.05,1.84,20040727,187773.13,2.45,-5.2,-28.6,32.16,6.14,32356,惠而浦,0.15,-34.5,,2.72,,11304.51,-7.31,,04-28,惠而浦,0.26,-29.54,,4.88,,20305.27,3.25,,08-29,惠而浦,0.46,-19.3,,8.2,,34919.36,15.11,,10-28,惠而浦,0.48,-5.88,,8.6,,36672.64,24.9,,04-22,惠而浦,0.17,13.33,,2.89,,12977.07,14.8,,04-28,惠而浦,0.24,-7.69,,3.99,,18031.53,-11.2,,08-26,惠而浦,0.33,-28.26,,5.5,,24933.94,-28.6,,10-27,,,,,,,,,,
300608,思特奇,软件服务,北京,0.0,0.17,0.67,66107.78,62968.28,1887.74,9622.9,1.43,-0.07400000000000001,6.12,11.59,20170213,14058.8,2.09,0.0,0.0,35.86,-1.37,31067,,,,,,,,,,,,,,,,,,,,,思特奇,-0.78,,,,,-3951.76,,,01-20,思特奇,0.94,-9.62,6.36,15.81,0.06,4740.2,-7.08,,01-20,,,,,,,,,,,思特奇,-0.24,,5.96,-3.93,-0.76,-1226.83,,,01-20,思特奇,-0.1,-87.18,6.12,,-0.76,-498.85,-87.38,,01-20,,,,,,,,,,
603040,新坐标,机械基件,浙江,93.52,0.15,0.6,28087.99,11315.2,12260.94,3541.83,0.59,0.556,5.72,12.12,20170209,15812.85,2.64,0.0,0.0,65.3,33.22,15006,,,,,,,,,,,,,,,,,,,,,新坐标,0.7,-12.5,,14.75,,3162.52,-11.63,,01-19,新坐标,1.03,-5.5,5.29,20.97,0.98,4614.46,-5.71,,01-19,,,,,,,,,,,新坐标,0.47,,5.46,8.92,0.4,2135.71,,,01-19,新坐标,0.74,5.71,,13.68,,3337.09,5.52,,01-19,,,,,,,,,,
300495,美尚生态,建筑施工,江苏,82.13,0.92,2.4,196746.63,92356.05,3850.71,50889.95,2.12,0.48,5.33,8.21,20151222,44317.4,1.84,11.74,25.93,31.51,20.84,19474,美尚生态,0.09,,,1.1,,465.82,,,04-27,美尚生态,1.29,,9.68,14.32,0.34,6468.51,,,12-04,美尚生态,0.51,-68.95,,,,7638.97,-6.66,,10-28,美尚生态,2.21,2.64,,23.27,,11040.28,2.64,10派5.8转20,03-28,美尚生态,0.24,157.51,,1.53,,1580.92,239.39,,04-27,美尚生态,0.35,-72.75,5.18,6.74,-0.94,7053.2,9.04,,08-27,美尚生态,0.48,-5.62,,9.15,,9619.51,25.93,,10-28,,,,,,,,,,
603038,华立股份,装修装饰,广东,45.71,0.17,0.67,71994.88,41496.85,24199.65,68.73,0.01,1.099,10.07,6.65,20170116,42778.67,6.41,0.0,0.0,35.49,18.18,15525,,,,,,,,,,,,,,,,,,,,,华立股份,1.0,-0.99,,12.28,,5023.86,-0.95,,12-30,华立股份,1.4,-2.1,9.07,16.66,2.6,6977.83,-2.23,,12-30,,,,,,,,,,,华立股份,0.82,,9.41,8.66,0.51,4104.48,,,12-30,华立股份,1.47,47.0,,14.95,,7328.47,45.87,,12-30,,,,,,,,,,
