code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
1,平安银行,1.09,-14.17,11.02,1871900.0,5.52,22.83,29.9446,81968.0,4.7737,,,,,,,,5.5186,26.1506,7.3941,-14.1732,26.1506
2,,,,,,,7.05,26.5271,117054.8001,10.6036,46.6826,5.7837,0.2111,1279.0147,0.1931,1398.2393,47.0608,18.3635,18.5002,32.4349,20.4509,12.9067
4,,,,,,,6.75,30.4974,217.5676,2.5908,135.3726,1.9945,0.7608,354.8896,0.6815,396.1849,144.7474,175.3798,4.0893,6.4063,518.3746,16.3067
5,,,,,,,38.16,28.9436,350.4969,0.3311,3.2444,83.2203,0.6866,393.2421,0.3993,676.1833,665.9935,,111.7718,88.5267,-481.8182,100.4255
6,深振业A,0.08,-58.65,2.6,11448.29,-58.64,9.99,41.3406,1145.7057,0.8486,65.9916,4.0914,0.0782,3452.6854,0.1041,2593.6599,-50.3046,-58.354,2.5213,12.6804,-58.6543,2.1859
7,,,,,,,-71.08,70.1375,28.2209,0.1221,0.9517,283.7028,0.5529999999999999,488.2459,0.0945,2857.1429,,,,,,
8,,,,,,,21.53,50.8344,1007.3293,0.3652,0.9758,276.69599999999997,1.0775,250.58,0.3707,728.3518,32.0033,113.4293,107.98299999999999,113.3064,-8.25,106.1231
9,,,,,,,5.02,32.4493,4189.0336,1.9489,3.7236,72.5105,0.4532,595.7635,0.3385,797.6366,33.7815,-56.3419,12.4141,17.0183,-77.0492,1.5319999999999998
10,美丽生态,0.03,470.21,1.0,2194.69,693.49,3.09,28.2398,708.0319,0.8636,1.7069999999999999,158.1722,0.3408,792.2535,0.2268,1190.4762,29.24,961.4680000000001,298.6176,145.9244,470.2128,300.0285
11,深物业A,-0.01,-115.53,-0.35,-720.25,-115.5,-1.35,19.7387,529.7187,0.8888,12.6824,21.2893,0.1591,1697.0459,0.1111,2430.243,-16.7175,-115.50399999999999,3.0696,65.8857,-115.5327,3.0709
12,南玻A,0.34,78.95,8.99,71489.93,81.41,10.96,27.4772,6522.1416,3.1426,11.1557,24.2029,11.2123,24.0807,3.0334,89.009,21.2941,75.7319,6.8522,11.1132,78.9474,3.281
14,沙河股份,-0.09,1673.47,-2.39,-1753.62,1671.58,-10.2,18.3467,171.8404,0.8519,36.2563,7.447,0.0797,3387.7039,0.0867,3114.1869,-23.4764,,3.9566,1.3754,1673.4694,4.3798
16,深康佳A,-0.02,-94.8,-1.59,-4433.1,-94.8,-0.3,14.1346,14617.2412,6.0704,6.5585,41.1679,4.4941,60.0788,1.3322,202.6723,5.58,,-17.1273,-8.1589,-94.8008,-15.0393
17,深中华A,0.0,280.0,16.25,208.06,286.65,1.73,9.6304,119.9496,0.2175,8.0925,33.3642,24.0774,11.2138,2.465,109.5335,-13.9086,267.5418,14.0778,-6.8279,280.0,11.2861
18,神州长城,0.18,-87.52,20.95,30316.6,25.0,9.37,24.1471,3233.5972,1.9040000000000001,1.1144,242.2828,11.7237,23.0303,0.6635,406.9329,10.8681,24.5936,92.1608,70.5107,-87.5175,87.0145
19,深深宝A,-0.06,123.44,-2.99,-2755.9,234.85,-12.17,20.5868,226.3876,0.5012,3.1288,86.2951,0.9939,271.6571,0.5204,518.8317,-9.2761,,-5.8992,-4.8178,123.4432,-5.6703
