code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg
300395,菲利华,0.65,-50.92,12.38,8417.8,20.89,24.73,50.9669,340.2771,2.5975,4.5354,79.3756,4.0731,88.3848,0.5477,657.2941,18.4744,20.8939,10.8955,14.4907,-50.9228,10.8955
300396,迪瑞医疗,0.71,-65.02,11.36,10827.8,6.83,19.08,58.8011,567.326,3.6995,4.7295,76.118,1.7878,201.3648,0.7204,499.7224,16.6204,18.3399,39.804,68.8045,-65.0246,8.4373
300397,天和防务,-0.46,-159.74,-4.4,-5532.71,-173.49,-71.04,29.2225,77.8738,0.6489,0.2036,1768.1729,0.3147,1143.9466,0.0627,5741.6268,-65.0811,-170.3474,-3.8719,7.7907,-159.7403,-5.4505
300398,飞凯材料,1.01,-27.34,15.33,10521.34,16.8,24.35,48.6598,432.0727,4.1545,3.3923,106.1227,5.0081,71.8835,0.7685,468.445,7.3693,16.7986,13.8729,19.3873,-27.3381,13.8729
300399,,,,,,,18.34,36.1987,185.396,1.2197,10.5315,34.1832,29.3845,12.2514,0.4491,801.6032,33.8686,-3.7755,-6.2938,-5.0563,-61.4035,-7.9828
300400,劲拓股份,0.27,-45.51,8.64,3203.89,-0.16,12.44,39.5307,257.4405,2.1453,2.4969,144.1788,2.0768,173.3436,0.6559999999999999,548.7805,-4.5919,-0.3203,6.606,2.497,-45.5102,6.6892
300401,花园生物,0.07,-86.27,1.7,1207.47,-67.62,7.98,36.6761,151.2211,0.8336,5.5605,64.7424,0.5018,717.4173,0.4224,852.2727,-4.7969,-67.4982,0.4238,4.3156,-86.2745,0.4238
300402,宝色股份,0.02,-92.91,0.6,417.02,-90.97,0.62,21.3328,667.4017,3.3039,2.0247,177.8041,1.7413,206.7421,0.6565,548.3625,-2.8986,-90.9735,-0.6153,0.638,-92.9103,-0.6153
300403,地尔汉宇,1.1,-11.17,12.1,14780.51,12.65,21.22,38.6384,696.3054,5.1963,4.6396,77.5929,4.3526,82.7092,0.7244,496.963,7.2652,10.7326,6.9661,9.3952,-11.1702,7.0743
300404,博济医药,0.2,-73.58,7.19,2566.38,-32.4,20.26,49.5898,126.626,0.9496,2.0942,171.9034,1.5234,236.3135,0.4034,892.4145,-11.988,-32.399,98.0393,67.6487,-73.5789,98.0393
300405,,,,,,,-3.58,14.0916,800.0369999999999,11.7652,2.3519,153.0677,5.0502,71.2843,0.8125,443.0769,-29.6552,-175.1601,-6.6584,-8.7216,-159.45600000000002,-6.6626
300406,,,,,,,43.27,72.13600000000001,566.2017,2.2662,2.3338,154.2549,1.7911,200.9938,0.5386,668.3996,11.3969,16.3323,19.0651,20.8041,-51.4851,19.0651
300407,凯发电气,0.51,-63.57,9.16,6966.94,-5.07,16.44,43.7191,423.5276,3.1141,1.6869999999999998,213.3966,1.4496,248.3444,0.4918,732.0049,24.0189,-4.6292,8.4061,6.0482,-63.5714,8.1246
300408,三环集团,1.02,-39.29,22.11,87364.06,34.77,35.09,49.746,2489.2249,2.8816,3.5354,101.8272,5.0286,71.5905,0.6998,514.4327,13.1261,34.7266,18.4423,18.5156,-39.2857,18.5216
300409,道氏技术,0.52,-63.89,8.92,5091.2,-29.56,9.19,39.8019,553.5631,5.6775,3.139,114.6862,2.0008,179.928,0.7999,450.0563,23.8971,-29.5741,4.8553,30.9664,-63.8889,3.262
300410,正业科技,0.26,-59.65,9.83,3934.04,35.04,11.01,35.4788,357.0835,2.2381,1.7249,208.7078,3.2471,110.8682,0.7905,455.408,14.7903,35.036,41.0322,56.7263,-59.6462,41.0322
300411,金盾股份,0.27,-59.7,8.11,4290.95,6.44,12.78,39.0073,335.5686,2.0973,0.7879999999999999,456.8528,8.9175,40.3701,0.5315,677.3283,8.6198,6.4433,6.8569,-0.8763,-59.7015,6.8569
300412,迦南科技,0.44,-58.88,13.81,5145.43,20.33,23.66,51.302,217.4184,1.8506,3.9842,90.3569,1.3613,264.4531,0.6051,594.943,18.2843,20.3267,10.9237,18.1956,-58.8785,9.9126
