code,name,eps,eps_yoy,roe,net_profits,profits_yoy,net_profit_ratio,gross_profit_rate,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,earnings,fluctuate
000001,,,,,,,22.44,29.4984,54769.0,3.1897,,,,,,,,6.1027,27.0546,8.9661,-14.2857,27.0546,0.0,10.0
000002,万科A,0.48,10.39,5.2,535131.0,10.42,7.15,26.3089,74795.2943,6.7754,31.3407,5.7433,0.1385,1299.639,0.1266,1421.8009,48.7966,4.4944,17.2956,32.661,10.3872,11.6738,50.0,60.0
000004,国农科技,0.04,147.22,3.6,298.57,146.3,2.92,27.8297,102.1505,1.2164,65.9815,2.728,0.316,569.6203,0.2837,634.4730000000002,71.5494,-32.1543,2.7772,33.0326,147.2222,3.7072,-0.0,10.0
000005,,,,,,,66.84,31.2029,189.9526,0.1794,1.7635,102.0697,0.436,412.844,0.2422,743.1874,,,,,,,-0.0,10.0
000006,深振业A,0.08,-60.46,2.3,10208.52,-60.44,11.75,42.578,868.6892,0.6434,50.4094,3.5708,0.0595,3025.2101,0.0819,2197.8022,-57.0512,-60.4927,2.6169,11.4897,-60.4603,2.3024,30.0,50.0
000007,全新好,-0.12,258.7,-7.49,-2666.5,258.3,-155.35,69.7917,17.1639,0.0743,0.5514,326.4418,0.3389,531.1301,0.0559,3220.0358,-70.6175,,17.7023,2.292,258.6957,-2.0429,50.0,60.0
000008,神州高铁,0.01,-88.89,1.25,4193.92,-40.06,6.81,48.8144,615.8086,0.2233,0.6223,289.2496,0.716,251.3966,0.2533,710.6198,23.5076,-45.5734,103.5804,110.4409,-88.8889,101.7868,0.0,20.0
000009,中国宝安,0.05,-37.84,1.61,7251.65,-38.77,2.59,33.3638,2794.4451,1.7551,2.5529,70.508,0.3008,598.4043,0.2285,787.7462,40.0849,-12.0836,23.2151,21.9472,-37.8378,21.6001,-10.0,20.0
000010,美丽生态,0.03,1046.43,1.2,2632.24,1519.15,4.69,27.9383,560.8783,0.6841,1.3601,132.3432,0.2716,662.7393,0.1777,1012.9432,38.1245,2631.4146,299.583,151.9235,1046.4286,301.6957,-0.0,20.0
000011,深物业A,-0.01,-116.83,-0.25,-524.87,-116.84,-1.41,20.7091,372.0575,0.6242,9.3324,19.2876,0.1164,1546.3918,0.0844,2132.7014,9.8288,-116.8428,3.8861,57.332,-116.826,3.8878,30.0,50.0
000012,南玻A,0.22,120.0,5.99,46688.33,126.9,11.04,27.2304,4228.1656,2.0373,8.2621,21.7862,8.0709,22.3023,1.8733,96.0871,27.2379,110.9288,5.3195,10.7915,120.0,2.6408,0.0,20.0
000014,沙河股份,-0.05,-171.55,-1.48,-1044.9,-171.59,-8.52,19.8608,122.5174,0.6074,26.3843,6.8222,0.0553,3254.9729,0.0622,2893.8907,-33.4272,-166.94299999999996,2.7359,0.6838,-171.547,3.0229,10.0,20.0
000016,深康佳A,0.01,-102.15,0.46,1283.47,-104.32,0.14,16.6261,8609.0808,3.5752,4.21,42.7553,2.4716,72.8273,0.787,228.7166,-3.7506,,-27.0327,-7.7545,-102.1492,-25.8833,-0.0,10.0
000017,深中华A,0.0,0.0,3.74,44.84,7.73,0.68,8.2902,65.774,0.1192,6.5879,27.3228,8.2558,21.8029,1.4280000000000002,126.0504,-14.0622,-12.428,-1.2742,3.8586,0.0,-0.8614,-0.0,20.0
000018,,,,,,,10.35,25.228,1953.5748,1.1503,0.7085,254.0579,7.0568,25.5073,0.4279,420.659,34975.1327,,1072.6012,3237.5404,-3100.0,1058.8336,-20.0,30.0
000019,深深宝A,-0.03,-288.7,-1.63,-1509.92,-383.95,-10.12,21.63,149.1555,0.3302,2.0618,87.3024,0.6872,261.9325,0.3379,532.702,-8.693,-870.7636,-6.6061,-5.4435,-288.7006,-5.7029999999999985,40.0,50.0
000020,,,,,,,2.34,14.6186,309.5385,1.0931,2.1164,85.0501,8.1758,22.0162,0.4456,403.9497,24.4453,-48.7,7.8337,-47.1556,-48.7026,7.8337,10.0,30.0
000021,,,,,,,3.16,5.1866,6868.7634,4.6686,3.8948,46.2155,7.9752,22.57,0.8049,223.6303,-4.5887,56.938,1.665,-26.8572,57.0064,1.1878,-0.0,20.0
000022,深赤湾A,0.41,10.13,5.88,26653.55,10.15,29.45,45.6064,904.8097,1.4033,4.1876,42.984,27.9776,6.4337,1.095,164.3836,2.7273,7.9172,6.5023,-1.2642,10.1333,7.0765,0.0,10.0
000023,深天地A,0.06,-28.15,2.02,775.96,-28.07,1.72,14.75,450.2945,3.2452,0.647,278.2071,0.8337,215.905,0.3271,550.2904,7.3622,-10.8139,4.5149,2.7865,-28.1491,4.7622,20.0,30.0
000025,特力A,0.06,101.69,2.02,1774.8,131.99,11.29,28.2059,157.1472,0.5286,141.1398,1.2753,8.9079,20.2068,0.4551,395.5175,-0.8484,145.8638,6.3332,2.0415,101.6892,6.3461,10.0,10.0
000026,飞亚达A,0.14,-25.86,2.59,6051.3,-17.23,4.09,40.4091,1479.5278,3.3721,4.6697,38.5464,0.4319,416.7631,0.4878,369.0037,-12.1313,-17.6272,38.8236,5.0238,-25.8602,38.8817,20.0,30.0
000027,深圳能源,0.22,-16.96,3.85,85217.06,-16.97,16.94,32.3848,5029.8734,1.2687,1.5395,116.9211,2.5422,70.8048,0.3244,554.8705,-8.3592,-23.689,-3.3253,19.0113,-16.9564,-5.3298,0.0,10.0
000028,国药一致,1.5,39.98,9.53,54212.21,39.97,3.84,7.4424,14089.0529,38.8522,2.1387,84.1633,5.4359,33.1132,1.1799,152.5553,9.9522,38.7171,15.95,4.8718,39.9813,15.8941,10.0,10.0
000029,深深房A,0.13,-27.73,5.62,13476.11,-27.71,12.27,25.6729,1097.887,1.0852,8.0873,22.2571,0.3906,460.8295,0.2939,612.4532,-4.328,-27.7226,5.2465,0.32299999999999995,-27.7265,4.9765,0.0,20.0
000030,富奥股份,0.29,31.82,7.58,36917.76,27.89,13.35,17.5638,2765.1631,2.1381,2.2894,78.6232,3.9929,45.08,0.7153,251.6427,20.323,22.4931,11.0511,15.5231,31.8182,8.8049,20.0,40.0
000031,中粮地产,0.09,-18.18,2.72,16093.83,-18.1,2.59,32.5534,6198.1338,3.4173,35.9097,5.0126,0.1114,1615.7989,0.1203,1496.2594,122.4626,198.3785,2.9756,20.0188,-18.1818,-2.3142,-10.0,20.0
000032,深桑达A,0.09,-555.0,2.74,3832.97,-1186.28,3.91,12.827,978.3543,2.3169,4.3703,41.1871,2.6683,67.4587,0.6759999999999999,266.2722,,,,,,,-0.0,10.0
000034,神州数码,0.45,608.59,14.61,25183.67,1005.88,2.15,5.608,11710.2535,17.9036,4.3528,41.3527,4.6768,38.4879,1.5444,116.5501,5485.0522,1005.8772,1219.2828,3549.7262,608.5938,1219.2828,10.0,20.0
000035,中国天楹,0.06,-47.18,3.82,7197.55,7.94,20.42,52.4942,352.4711,0.2845,2.0785,86.6009,2.3728,75.8597,0.5016,358.8517,30.0115,7.9365,13.8251,14.6902,-47.1818,13.8251,10.0,30.0
000036,华联控股,0.38,-2846.43,19.14,43211.98,-2864.71,435.47,48.726000000000006,99.2285,0.087,20.9073,8.6094,0.012,15000.0,0.0154,11688.3117,3.4541,,23.0419,61.0538,-2846.4286,29.1139,10.0,20.0
000037,深南电A,-0.09,-47.06,-9.29,-5645.47,-44.95,-8.09,8.28,697.6883,1.1574,1.7529,102.687,0.9406,191.3672,0.2512,716.5605,,,,,,,,
000038,,,,,,,22.93,42.0062,384.3795,1.1764,2.4493,73.4904,0.3679,489.2634,0.1581,1138.5199,295.2186,,3281.1559,934.0861,-5662.2222,4386.7798,-10.0,20.0
000039,,,,,,,-1.6,18.7588,23542.843,7.9046,2.1278,84.5944,1.1369,158.3253,0.532,338.3459,-27.8652,-132.7497,13.6378,20.0918,-125.4181,10.0763,0.0,10.0
000040,东旭蓝天,0.17,325.0,5.86,8048.99,290.61,6.23,24.3155,1291.2712,2.7497,8.6622,20.7799,0.3063,587.6592,0.1067,1686.9728,164.0461,290.9164,744.0415,351.7124,325.0,743.905,-10.0,10.0
000042,中洲控股,0.04,-95.39,0.47,2645.87,-93.68,0.79,25.03,3321.5044,4.996,38.1149,4.7226,0.142,1267.6056,0.1469,1225.3233,42.7524,-95.1467,51.4724,42.6759,-95.3911,51.5149,10.0,20.0
000043,中航地产,0.01,-102.99,0.09,336.22,-103.02,0.12,21.2652,2715.4357,4.0713,5.5108,32.6631,0.1954,921.1873,0.1922,936.5245,68.3044,,12.7349,5.3197,-102.9922,17.9735,20.0,20.0
000045,深纺织A,-0.06,-500.0,-1.4,-3009.79,-492.51,-5.45,7.4087,552.1576,1.09,2.8666,62.7922,1.6975,106.0383,0.3072,585.9375,-11.0848,-492.511,-1.4755,1.7293,-500.0,-1.4755,-0.0,10.0
000046,,,,,,,9.75,45.1619,9335.6215,1.7966,5.0861,35.3906,0.0934,1927.1949,0.0879,2047.7816,334.3141,2.641,57.8439,37.4445,23.3793,58.1815,-0.0,20.0
000048,康达尔,0.04,-89.84,2.01,1464.66,-89.84,1.97,20.8627,742.674,1.9005,14.7176,12.2303,1.2569,143.2095,0.6338,284.0013,-39.7193,-88.0712,9.9559,-7.0916,-89.8402,11.8098,-0.0,10.0
000049,德赛电池,0.35,-36.89,7.58,7257.83,-36.88,2.41,9.6078,3003.4376,14.6335,2.2353,80.5261,5.0614,35.5633,1.1087,162.3523,-20.9368,-41.7397,25.5051,-12.106,-36.891,19.2985,10.0,20.0
000050,深天马A,0.19,-16.89,1.98,26469.69,2.88,5.32,19.8914,4970.4532,3.5475,2.1927,82.0906,2.9904,60.1926,0.4926,365.408,-3.2573,2.6515,55.2312,10.1066,-16.894000000000002,62.9988,-10.0,20.0
000055,方大集团,0.07,0.0,3.99,5315.64,3.58,5.26,17.648,1009.456,1.3336,0.6828,263.6204,0.5609,320.9128,0.2747,655.2603,-12.23,10.1156,-0.9641,28.5061,0.0,2.8278,-10.0,30.0
000056,皇庭国际,0.09,202.01,1.01,5076.38,541.65,35.82,71.3396,141.6871,0.2468,2.7409,65.6719,56.7193,3.1735,0.2719,662.0081,-16.8617,484.9444,72.1249,23.5673,202.0134,164.4696,0.0,20.0
000058,深赛格,0.03,-23.15,1.82,2685.63,-23.06,7.4,11.4914,362.6732,0.4621,4.0826,44.0896,0.6297,285.8504,0.2827,636.7174,-3.1723,-15.0726,2.3080000000000003,-0.6511,-23.1461,2.9486,10.0,30.0
000059,华锦股份,0.57,281.08,9.73,90519.78,281.15,6.92,30.3602,13080.7579,8.1783,63.8082,2.821,2.8901,62.2816,1.3851,129.9545,-23.1876,234.666,8.8725,1.1651,281.0774,11.3647,-0.0,10.0
000060,中金岭南,0.02,-71.43,0.59,4354.82,-72.79,0.74,9.4416,5883.099,2.6588,14.6044,12.3251,2.6748,67.2948,1.1357,158.4926,-12.3842,-70.7189,1.3738,4.5142,-71.4286,1.0589,-10.0,20.0
000061,农产品,0.02,-26.82,0.68,3245.13,-26.82,3.32,41.418,976.8657,0.5756,13.3003,13.5335,1.1351,158.5763,0.315,571.4286,12.6745,-30.7018,0.1331,14.3899,-26.8199,-1.2601,0.0,10.0
000062,深圳华强,0.18,-28.31,3.53,12914.55,-22.47,5.72,20.0216,2255.1683,3.1264,3.072,58.5938,2.1141,85.1426,0.7773,231.5708,282.8142,-19.9467,43.3871,44.3329,-28.314,44.1528,-10.0,20.0
000063,,,,,,,3.69,33.3623,47757.302,11.496,1.7505,102.8278,1.3989,128.6725,0.4791,375.7044,4.0492,19.4395,21.5104,14.8243,-8.5106,15.8712,0.0,10.0
000065,北方国际,0.4,73.91,5.51,11014.53,84.36,4.96,9.6129,2217.4868,8.082,1.8797,95.76,4.1099,43.7967,0.3528,510.2041,69.4762,79.2668,12.7452,37.735,73.913,13.5597,20.0,30.0
000066,中国长城,-0.01,-93.67,-0.28,-727.2,-93.07,-0.02,11.077,31582.5409,23.8612,2.8263,63.6875,3.3669,53.4616,1.0805,166.5895,,,,,,,0.0,10.0
000068,华控赛格,-0.02,6.36,-3.91,-2357.57,8.57,-55.18,30.6291,42.7198,0.0424,0.4102,438.8103,2.6179,68.7574,0.1117,1611.4593,151.3788,,9.3885,15.4846,6.3636,0.8786,-0.0,20.0
000069,华侨城A,0.19,-1.03,4.1,157976.3,11.69,13.78,45.8962,11460.2295,1.3966,15.8735,11.3397,0.1185,1518.9873,0.1351,1332.3464,12.7827,6.8765,31.6488,26.004,-1.0283,32.8837,0.0,10.0
000070,特发信息,0.25,78.28,4.93,7846.88,106.18,3.66,15.7559,2141.2462,6.8301,1.7211,104.5843,1.7153,104.9379,0.7098,253.5926,87.5545,90.1756,46.8688,75.976,78.2764,47.5078,10.0,30.0
