,报表日期,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,258507376.09,149782415.17,88555564.86,339229074.43,389562910.08,102257581.51,67782164.81,262614966.09,234767544.72,158572967.75,89155142.11,329354944.84,387223285.20,290135199.69,133817461.49,645045894.02,210415541.64,141772080.70,75306768.51,838565474.33,126774503.19,92699839.77,54261572.45,353389960.07,90238828.90,75611247.71,41178147.78,223032156.10,128674777.94,61855993.02,35670466.62,86999939.11,114242551.53,98236917.19,37523937.43,290227069.73,110511769.18,81382740.63,17673892.99,243073929.63,62010708.78,37642760.96,17663677.33,58830320.09,40777378.77,30695322.92,14670075.20,46514539.09,38459719.30,23309300.83,14130865.80,46299782.07,25032512.11,13406855.32,7111283.91,15831458.23,7825646.02,4580992.69,5856572.71,16819424.13,21545313.71,15933210.21,7558841.72,32786145.11,32194048.13,16554411.81,11383680.09,4492444.90,0.0
10,经营活动现金流出小计,4985150964.99,3021721465.91,1437369194.17,4542615088.51,2739748558.49,1487739825.41,796622934.67,5096481766.32,3962040500.79,2725044349.53,1296019801.75,4735232315.28,3686395787.34,2513048798.34,1118884477.34,8357503577.92,5406511830.34,3544986323.83,1677127824.00,11876215996.59,7113044526.73,5539593697.40,2724697214.61,10438229502.93,7508329188.96,5172177382.69,1259426699.19,3549252704.94,2480879179.44,1096397131.14,662481371.01,2404897956.57,2271659456.40,1124919250.63,635546489.75,2475629611.62,1480863047.01,1095544213.28,547958863.32,2202280164.86,1005186210.71,638289200.38,294383573.15,1063480650.02,612436426.57,407120780.44,143175100.83,837335704.77,553244048.14,355899630.20,199660257.79,797785808.62,540241888.03,307987304.03,106137497.00,487238673.30,295073470.54,194075252.11,59859622.03,204016207.93,107685258.07,297025306.56,152702088.22,300605816.06,145075739.12,202304462.03,112150263.60,236635230.69,0.0
11,经营活动产生的现金流量净额,541159064.31,91525429.22,-54315830.68,100954958.37,983015683.04,646808843.50,105903962.50,2708499173.38,2369441752.03,2284012111.47,769370981.63,697351286.69,419640991.46,63156309.85,33316121.28,1134616407.60,2117257026.62,1002443136.30,-378536114.94,-982894942.27,235364415.07,1359680156.06,-667990770.22,1947807717.19,2110996997.77,1236569786.59,627199288.24,943437562.94,376648732.32,320842951.69,27004836.24,-197873023.97,-218770279.81,154118610.00,102415742.37,-204166600.40,-90779335.45,-87011988.14,31853342.24,298955102.89,296468948.33,158492640.29,34294316.64,242826927.84,219973567.43,81715045.20,53154430.14,102807794.75,63708088.67,19742749.95,-876804.35,41736752.50,12936215.79,61546984.87,49099688.54,23589663.91,23724441.23,12317574.10,5302763.13,50625967.31,9882845.60,3309807.79,1466642.73,170122072.73,74499863.55,2070693.18,-24768255.25,-43091218.27,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,30000.00,30000.00,30000.00,0,140080.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,2000000.00,2000000.00,0,12722471.27,20000.00,20000.00,0,4500000.00,4500000.00,0,0,6000000.00,11353285.38,6000000.00,0,433823.06,0,0,0,500000.00,200000.00,200000.00,0,0,0,0,0,0,0,0,0,1645500.00,1645500.00,0,0,0,0,0,0,30000000.00,0,50000000.00,50000000.00,70000000.00,0.0
14,取得投资收益所收到的现金,288050.32,0,0,9940572.92,183597.38,130323.39,0,5102056.16,352545.24,186465.24,0,4344276.20,39457.00,39457.00,0,4243008.06,567687.64,567687.64,0,8925319.32,8785582.12,0,0,2206491.51,1311000.00,681000.00,0,6314288.38,179303.41,13303.41,77092.29,2786178.43,308098.98,2244130.91,0,4695893.55,305896.03,282870.82,2206657.22,4949787.60,0,0,0,376300.55,253637.55,253637.55,0,120000.00,120000.00,120000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,281250.00,0,2125000.00,2125000.00,3360000.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,2466018.32,2466018.32,2133685.00,2162913.68,145851.02,113000.00,0,803838.00,768838.00,26000.00,0,114355.00,92355.00,88355.00,48355.00,3909396.68,3905896.68,3877196.68,3877196.68,291300.27,550683.00,552244.64,367183.00,1334933.00,1069335.83,84136.18,0,25500.00,0,0,0,82000.00,2043500.00,2032000.00,1350800.00,3233560.18,246836.00,228836.00,0,2579488.03,8510772.57,1162257.93,0,5375531.79,2930778.94,1941397.14,85551.06,2314203.69,524278.06,397301.05,62171.98,4232357.37,22032968.33,5222687.68,45000.00,3288860.00,3286860.00,3263860.00,0,0,0,0,0,57060.57,57060.57,2100.00,0,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,199972.33,199972.33,199972.33,0,6772138.36,6773697.81,6772138.36,0,0,600000.00,0,0,0,3174647.07,0,3060000.00,0,0,0,5021369.86,0,0,0,0,0,2883570.25,0,0,378349.74,99230.00,0,0,0,229159.59,212159.59,212159.59,0,1200000.00,1200000.00,1200000.00,0,5472767.71,5181005.46,31005.46,2924.99,2924.99,2924.99,2924.99,0,8936.37,0,0,46963.86,0,0,0,0,2972388.67,3092264.16,0,0,0,0,0,8312034.54,0.0
18,投资活动现金流入小计,2754068.64,2466018.32,2133685.00,12333458.93,559420.73,473295.72,0.00,12818112.52,7895081.05,6984603.60,0.00,4458631.20,731812.00,127812.00,48355.00,8152404.74,7648231.39,4444884.32,6937196.68,9216619.59,9336265.12,552244.64,5388552.86,5541424.51,4380335.83,2765136.18,0,19062259.65,3082873.66,33303.41,77092.29,7746528.17,6950828.98,4276130.91,1350800.00,13929453.73,12135177.00,6723866.41,2418816.81,7963098.69,9710772.57,2362257.93,1200000.00,6251832.34,8857184.20,7576040.15,116556.52,2437128.68,647203.05,520226.04,65096.97,4232357.37,22041904.70,5222687.68,45000.00,4981323.86,4932360.00,3263860.00,0,0,2972388.67,3092264.16,0,30338310.57,57060.57,52127100.00,52125000.00,81672034.54,0.0
