,code,name,date,count,ratio
0,002591,恒大高新,2020-05-31,3163.02,10.83
1,603196,日播时尚,2020-05-31,17460.00,72.75
2,603901,永创智能,2020-05-29,21600.00,54.00
3,603998,方盛制药,2020-05-27,195.25,0.45
4,002043,兔宝宝,2020-05-26,991.80,1.15
5,300462,华铭智能,2020-05-26,5339.04,38.76
6,300659,中孚信息,2020-05-26,2507.54,30.73
7,000590,启迪古汉,2020-05-25,1614.00,6.74
8,002439,启明星辰,2020-05-25,237.71,0.27
9,002876,三利谱,2020-05-25,2127.59,26.60
10,603580,艾艾精工,2020-05-25,4512.50,67.68
11,600990,四创电子,2020-05-24,2247.71,14.12
12,601689,拓普集团,2020-05-24,452.16,0.62
13,601989,中国重工,2020-05-24,71823.20,3.76
14,603855,华荣股份,2020-05-24,12953.00,39.12
15,002708,光洋股份,2020-05-23,917.73,1.96
16,300391,康跃科技,2020-05-23,1484.56,7.49
17,300655,晶瑞股份,2020-05-23,2076.96,23.54
18,300657,弘信电子,2020-05-23,3166.72,30.45
19,000524,岭南控股,2020-05-22,13537.91,20.20
20,002635,安洁科技,2020-05-22,114.06,0.19
21,300227,光韵达,2020-05-22,622.00,4.15
22,603383,顶点软件,2020-05-22,4342.00,51.57
23,002239,奥特佳,2020-05-19,1383.11,1.24
24,002872,天圣制药,2020-05-19,6864.12,32.38
25,002873,新天药业,2020-05-19,3042.68,44.17
26,300656,民德电子,2020-05-19,1566.18,26.10
27,603197,保隆科技,2020-05-19,4681.38,39.98
28,000676,智度股份,2020-05-18,32735.92,33.90
29,002837,英维克,2020-05-18,83.68,0.41
30,600963,岳阳林纸,2020-05-17,35457.40,25.37
31,603269,海鸥股份,2020-05-17,3237.50,35.39
32,603758,秦安股份,2020-05-17,28799.82,65.63
33,300652,雷迪克,2020-05-16,5670.12,64.43
34,300653,正海生物,2020-05-16,3672.00,45.90
35,603488,展鹏科技,2020-05-16,11151.10,53.61
36,002869,金溢科技,2020-05-15,6680.00,56.71
37,002870,香山股份,2020-05-15,3320.00,30.00
38,600621,华鑫股份,2020-05-15,12000.00,11.31
39,600738,兰州民百,2020-05-15,36116.80,49.47
40,601952,苏垦农发,2020-05-15,74515.11,70.30
41,603180,金牌厨柜,2020-05-12,4858.35,72.51
42,002871,伟隆股份,2020-05-11,5100.00,75.00
43,603086,先达股份,2020-05-11,2820.45,35.26
44,603113,金能科技,2020-05-11,34201.42,50.60
45,603896,寿仙谷,2020-05-10,7874.35,56.33
46,603926,铁流股份,2020-05-10,5490.75,45.76
47,300651,金陵体育,2020-05-09,4890.40,64.57
48,603229,奥翔药业,2020-05-09,10602.00,66.26
49,603728,鸣志电器,2020-05-09,18480.00,57.75
50,300436,广生堂,2020-05-08,65.65,0.46
51,300643,万通智控,2020-05-05,11626.51,58.13
52,300649,杭州园林,2020-05-05,4800.00,75.00
53,603985,恒润股份,2020-05-05,2880.00,36.00
54,601636,旗滨集团,2020-05-04,2383.50,0.89
55,603501,韦尔股份,2020-05-04,27943.50,67.17
56,000810,创维数字,2020-05-03,3605.50,3.48
57,002868,绿康生化,2020-05-03,8154.00,67.95
58,300647,超频三,2020-05-03,7227.00,60.22
59,300650,太龙照明,2020-05-03,1944.00,30.79
60,600211,西藏药业,2020-05-03,3403.02,18.95
61,600621,华鑫股份,2020-05-03,40564.93,38.24
62,603505,金石资源,2020-05-03,12796.54,53.32
63,603320,迪贝电气,2020-05-02,6750.00,67.50
