,code,name,date,count,ratio
0,002118,紫鑫药业,2019-04-30,25477.71,19.89
1,002682,龙洲股份,2019-04-30,1211.46,3.23
2,300349,金卡智能,2019-04-30,1036.89,4.41
3,000501,鄂武商A,2019-04-29,962.54,1.25
4,002707,众信旅游,2019-04-29,344.08,0.41
5,002795,永和智控,2019-04-29,13625.00,68.12
6,300031,宝通科技,2019-04-29,6737.05,16.98
7,300092,科新机电,2019-04-29,308.77,1.30
8,300364,中文在线,2019-04-29,99.19,0.35
9,300451,创业软件,2019-04-29,24.03,0.10
10,300507,苏奥传感,2019-04-29,5192.64,43.27
11,600446,金证股份,2019-04-29,4983.04,5.97
12,002113,天润数娱,2019-04-28,28087.99,37.23
13,002624,完美世界,2019-04-28,61443.93,46.74
14,002712,思美传媒,2019-04-28,1584.13,5.00
15,002829,星网宇达,2019-04-28,245.40,1.53
16,603158,腾龙股份,2019-04-28,150.11,0.69
17,603822,嘉澳环保,2019-04-28,3275.00,44.65
18,300179,四方达,2019-04-27,9.60,0.02
19,300343,联创互联,2019-04-27,3013.90,5.10
20,603029,天鹅股份,2019-04-27,5681.45,60.87
21,000690,宝新能源,2019-04-26,4492.75,2.07
22,002445,中南文化,2019-04-26,366.80,0.44
23,002491,通鼎互联,2019-04-26,1261.52,1.00
24,300316,晶盛机电,2019-04-26,44.55,0.04
25,300363,博腾股份,2019-04-26,112.03,0.26
26,002250,联化科技,2019-04-25,773.70,0.84
27,002611,东方精工,2019-04-25,5947.83,5.14
28,300449,汉邦高科,2019-04-25,111.36,0.77
29,300509,新美星,2019-04-25,5280.00,66.00
30,603588,高能环境,2019-04-25,617.84,0.93
31,600260,凯乐科技,2019-04-23,4781.27,7.17
32,000815,美利云,2019-04-22,37846.30,54.44
33,002160,常铝股份,2019-04-22,8629.44,11.91
34,002558,世纪游轮,2019-04-22,133105.88,78.90
35,300008,天海防务,2019-04-22,26766.20,27.88
36,300051,三五互联,2019-04-22,119.05,0.32
37,300245,天玑科技,2019-04-22,178.98,0.65
38,600575,皖江物流,2019-04-22,76112.90,19.48
39,002230,科大讯飞,2019-04-21,1866.11,1.34
40,300047,天源迪科,2019-04-21,494.68,1.38
41,300354,东华测试,2019-04-21,1.20,0.01
42,601099,太平洋,2019-04-21,33750.00,4.95
43,603726,朗迪集团,2019-04-21,7104.00,75.00
44,000407,胜利股份,2019-04-20,10603.59,12.05
45,002080,中材科技,2019-04-20,26869.91,33.30
46,300378,鼎捷软件,2019-04-20,73.58,0.28
47,002617,露笑科技,2019-04-19,1228.75,1.67
48,002716,金贵银业,2019-04-19,15483.00,27.40
49,002147,新光圆成,2019-04-18,96943.58,68.94
50,002354,天神娱乐,2019-04-18,2192.16,2.43
51,300286,安科瑞,2019-04-18,92.80,0.64
52,300508,维宏股份,2019-04-18,4028.88,70.91
53,603868,飞科电器,2019-04-18,39200.00,89.99
54,000960,锡业股份,2019-04-15,26263.20,17.84
55,002175,东方网络,2019-04-15,15430.70,20.47
56,002793,东音股份,2019-04-15,6745.81,33.73
57,002654,万润科技,2019-04-14,3274.05,3.96
58,300018,中元股份,2019-04-14,188.55,0.39
59,300325,德威新材,2019-04-14,20107.24,19.77
60,002014,永新股份,2019-04-13,998.60,2.97
61,600900,长江电力,2019-04-13,374000.00,17.00
62,000735,罗牛山,2019-04-12,9128.29,7.93
63,603444,吉比特,2019-04-12,22.77,0.32
64,603701,德宏股份,2019-04-12,4920.00,50.20
65,000606,神州易桥,2019-04-11,7250.37,9.47
66,002411,必康股份,2019-04-11,27817.75,18.15
67,300430,诚益通,2019-04-11,369.10,3.26
68,603556,海兴电力,2019-04-11,215.61,0.57
69,000681,视觉中国,2019-04-10,38803.99,55.39
70,000501,鄂武商A,2019-04-08,8165.14,10.61
71,000762,西藏矿业,2019-04-08,4484.44,8.61
72,000829,天音控股,2019-04-08,455.96,0.47
73,300377,赢时胜,2019-04-08,733.33,2.47
74,600031,三一重工,2019-04-08,2353.89,0.31
75,000662,天夏智慧,2019-04-07,55285.52,65.75
76,002706,良信电器,2019-04-07,1334.45,2.58
77,300250,初灵信息,2019-04-07,1844.89,8.02
78,000829,天音控股,2019-04-06,66.21,0.07
79,300234,开尔新材,2019-04-06,2553.46,8.82
80,603568,伟明环保,2019-04-06,260.40,0.38
81,603798,康普顿,2019-04-06,5730.00,57.30
82,000802,北京文化,2019-04-05,32445.99,44.68
83,300285,国瓷材料,2019-04-01,4381.06,7.32
84,600498,烽火通信,2019-04-01,456.46,0.44
85,600681,百川能源,2019-04-01,10500.00,10.89
86,603128,华贸物流,2019-04-01,1985.07,1.99
