,code,name,date,count,ratio
0,000035,中国天楹,2017-05-31,42695.61,34.47
1,000971,高升控股,2017-05-31,99.30,0.19
2,002340,格林美,2017-05-31,8416.20,2.21
3,002407,多氟多,2017-05-31,621.75,0.99
4,002745,木林森,2017-05-31,8382.79,15.87
5,002759,天际股份,2017-05-31,1545.00,3.42
6,002800,天顺股份,2017-05-31,1919.00,25.70
7,300027,华谊兄弟,2017-05-31,1945.32,0.70
8,300266,兴源环境,2017-05-31,2038.96,4.01
9,300297,蓝盾股份,2017-05-31,2963.55,2.52
10,300299,富春股份,2017-05-31,2425.97,6.38
11,300465,高伟达,2017-05-31,1326.40,2.93
12,300468,四方精创,2017-05-31,910.69,8.64
13,600157,永泰能源,2017-05-31,123115.58,9.91
14,600538,国发股份,2017-05-31,18518.52,39.88
15,600999,招商证券,2017-05-31,18972.71,2.83
16,601198,东兴证券,2017-05-31,10000.00,3.63
17,603885,吉祥航空,2017-05-31,2100.00,1.64
18,002077,大港股份,2017-05-26,4620.69,7.96
19,002294,信立泰,2017-05-26,55639.87,53.19
20,002558,世纪游轮,2017-05-26,15957.45,9.46
21,002601,龙蟒佰利,2017-05-26,1571.74,0.77
22,002780,三夫户外,2017-05-26,17.74,0.18
23,002798,帝王洁具,2017-05-26,1068.37,12.37
24,300113,顺网科技,2017-05-26,1433.77,2.07
25,300247,乐金健康,2017-05-26,200.00,0.25
26,300512,中亚股份,2017-05-26,1069.99,3.96
27,600201,生物股份,2017-05-26,388.64,0.63
28,600811,东方集团,2017-05-26,85125.10,29.79
29,603077,和邦生物,2017-05-26,12711.47,3.17
30,603686,龙马环卫,2017-05-26,169.50,0.62
31,000803,*ST金宇,2017-05-25,3002.60,23.51
32,000908,景峰医药,2017-05-25,14110.08,16.04
33,002236,大华股份,2017-05-25,1627.55,0.56
34,002708,光洋股份,2017-05-25,1500.64,3.20
35,300077,国民技术,2017-05-25,674.10,1.20
36,300184,力源信息,2017-05-25,1295.66,1.97
37,300260,新莱应材,2017-05-25,134.25,1.33
38,300319,麦捷科技,2017-05-25,15.20,0.07
39,300497,富祥股份,2017-05-25,161.49,1.44
40,002249,大洋电机,2017-05-24,62.06,0.03
41,002285,世联行,2017-05-24,495.00,0.24
42,300010,立思辰,2017-05-24,190.65,0.22
43,000420,吉林化纤,2017-05-23,35000.00,17.76
44,000530,大冷股份,2017-05-23,609.00,1.00
45,002051,中工国际,2017-05-23,316.98,0.34
46,002721,金一文化,2017-05-23,4620.67,7.13
47,300170,汉得信息,2017-05-23,590.52,0.69
48,300383,光环新网,2017-05-23,11643.01,8.05
49,600222,太龙药业,2017-05-23,1909.49,3.33
50,000676,智度股份,2017-05-22,248.04,0.26
51,002279,久其软件,2017-05-22,2717.26,3.86
52,002511,中顺洁柔,2017-05-22,551.29,1.09
53,002596,海南瑞泽,2017-05-22,1898.90,1.94
54,300166,东方国信,2017-05-22,1800.42,2.74
55,300195,长荣股份,2017-05-22,3647.10,8.41
56,300301,长方集团,2017-05-22,10000.00,12.66
57,300448,浩云科技,2017-05-22,43.84,0.22
58,002239,奥特佳,2017-05-19,6380.08,5.71
59,002587,奥拓电子,2017-05-19,194.32,0.48
60,002670,国盛金控,2017-05-19,36479.03,24.36
61,300002,神州泰岳,2017-05-19,6392.70,3.26
62,300098,高新兴,2017-05-19,84.72,0.08
63,300194,福安药业,2017-05-19,907.96,0.76
64,300410,正业科技,2017-05-19,1808.90,9.18
65,300451,创业软件,2017-05-19,31.86,0.13
66,600770,综艺股份,2017-05-19,19540.00,15.03
67,603339,四方冷链,2017-05-19,510.00,2.43
68,603898,好莱客,2017-05-19,177.00,0.59
69,002264,新华都,2017-05-18,1796.87,2.62
70,002425,凯撒文化,2017-05-18,5011.91,9.86
71,300045,华力创通,2017-05-18,207.60,0.37
72,300218,安利股份,2017-05-18,4752.00,21.90
73,300243,瑞丰高材,2017-05-18,71.23,0.34
74,300248,新开普,2017-05-18,1100.92,3.39
75,600211,西藏药业,2017-05-18,3148.00,17.53
76,002174,游族网络,2017-05-17,54741.64,63.56
77,002517,恺英网络,2017-05-17,2227.50,3.10
78,002619,巨龙管业,2017-05-17,3896.16,4.87
79,300059,东方财富,2017-05-17,24640.66,5.77
80,300157,恒泰艾普,2017-05-17,3206.31,4.50
81,300166,东方国信,2017-05-17,7848.13,11.96
82,603959,百利科技,2017-05-17,5040.00,22.50
83,002092,中泰化学,2017-05-16,30510.56,14.21
84,002390,信邦制药,2017-05-16,9474.33,5.56
85,002516,旷达科技,2017-05-16,2952.00,1.96
86,002609,捷顺科技,2017-05-16,11.89,0.02
87,300219,鸿利智汇,2017-05-16,286.96,0.43
88,300468,四方精创,2017-05-16,117.09,1.11
89,603779,威龙股份,2017-05-16,4240.58,21.18
90,002004,华邦健康,2017-05-15,12730.69,6.26
91,002071,长城影视,2017-05-15,19011.53,36.18
92,002263,大东南,2017-05-15,4125.00,2.20
93,002364,中恒电气,2017-05-15,30.00,0.05
94,300048,合康新能,2017-05-15,1737.93,2.21
95,300279,和晶科技,2017-05-15,829.93,5.18
96,300297,蓝盾股份,2017-05-15,156.20,0.13
97,300414,中光防雷,2017-05-15,1813.00,10.61
98,300455,康拓红外,2017-05-15,1050.00,3.75
99,600346,恒力股份,2017-05-15,25157.23,8.90
100,600589,广东榕泰,2017-05-15,2535.54,3.60
101,603601,再升科技,2017-05-15,5703.13,14.77
102,000038,深大通,2017-05-12,101.15,0.31
