,code,name,date,count,ratio
0,002182,云海金属,2019-03-31,7042.25,10.89
1,002616,长青集团,2019-03-31,2353.60,3.17
2,300056,三维丝,2019-03-31,4487.45,11.64
3,300474,景嘉微,2019-03-31,20000.00,74.91
4,600366,宁波韵升,2019-03-31,55.00,0.10
5,603028,赛福天,2019-03-31,10523.13,47.66
6,002503,搜于特,2019-03-30,1267.46,0.41
7,601021,春秋航空,2019-03-30,14.50,0.02
8,002791,坚朗五金,2019-03-29,16077.00,75.00
9,300014,亿纬锂能,2019-03-29,88.67,0.10
10,300261,雅本化学,2019-03-29,2232.85,4.16
11,300373,扬杰科技,2019-03-29,109.49,0.23
12,002458,益生股份,2019-03-28,420.30,1.21
13,002792,通宇通讯,2019-03-28,15375.68,68.10
14,300338,开元股份,2019-03-28,387.41,1.14
15,000987,越秀金控,2019-03-27,168539.33,75.79
16,300020,银江股份,2019-03-26,773.84,1.18
17,600653,申华控股,2019-03-25,20000.00,10.27
18,600126,杭钢股份,2019-03-24,120210.18,46.27
19,600518,康美药业,2019-03-24,787.60,0.16
20,603808,歌力思,2019-03-24,561.50,2.16
21,002011,盾安环境,2019-03-23,7378.47,8.04
22,002610,爱康科技,2019-03-23,15908.60,3.54
23,300158,振东制药,2019-03-23,340.40,0.66
24,300506,名家汇,2019-03-23,15187.50,50.62
25,002154,报喜鸟,2019-03-22,3842.81,3.08
26,300297,蓝盾股份,2019-03-22,237.00,0.20
27,603558,健盛集团,2019-03-22,7050.00,19.03
28,603861,白云电器,2019-03-22,28801.47,70.40
29,000008,神州高铁,2019-03-21,4119.22,1.47
30,002264,新华都,2019-03-21,7772.10,11.35
31,300484,蓝海华腾,2019-03-21,11411.36,54.86
32,002712,思美传媒,2019-03-20,345.42,1.09
33,300010,立思辰,2019-03-18,2530.77,2.90
34,300431,暴风集团,2019-03-18,68.65,0.25
35,600222,太龙药业,2019-03-18,350.37,0.61
36,600346,恒力股份,2019-03-18,190632.78,67.46
37,600681,百川能源,2019-03-18,52982.30,54.95
38,002046,轴研科技,2019-03-17,1304.35,3.69
39,002502,骅威文化,2019-03-17,1153.84,1.34
40,603789,星光农机,2019-03-17,46.77,0.23
41,603918,金桥信息,2019-03-17,29.10,0.16
42,000969,安泰科技,2019-03-16,8070.18,7.87
43,300486,东杰智能,2019-03-16,75.60,0.53
44,601020,华钰矿业,2019-03-16,23868.00,45.40
45,002013,中航机电,2019-03-15,31061.81,12.91
46,300094,国联水产,2019-03-15,164.10,0.21
47,300439,美康生物,2019-03-15,7.76,0.02
48,300505,川金诺,2019-03-15,5519.03,59.12
49,600896,览海投资,2019-03-15,29197.08,33.60
50,603339,四方冷链,2019-03-15,103.39,0.49
51,002685,华东重机,2019-03-14,12944.29,18.77
52,300017,网宿科技,2019-03-14,24328.78,10.11
53,300197,铁汉生态,2019-03-14,1428.34,0.94
54,002245,澳洋顺昌,2019-03-13,557.38,0.56
55,002311,海大集团,2019-03-13,805.66,0.51
56,300228,富瑞特装,2019-03-13,98.25,0.21
57,002099,海翔药业,2019-03-12,1727.75,1.06
58,002152,广电运通,2019-03-11,27423.00,16.94
59,002285,世联行,2019-03-11,524.86,0.26
60,002789,建艺集团,2019-03-11,3950.00,48.64
61,000591,太阳能,2019-03-10,44089.26,14.66
62,002327,富安娜,2019-03-10,532.29,0.61
63,603919,金徽酒,2019-03-10,19089.35,52.44
64,000835,长城动漫,2019-03-09,2139.04,6.55
65,002325,洪涛股份,2019-03-09,1279.56,1.03
66,300503,昊志机电,2019-03-09,14590.48,57.53
67,603520,司太立,2019-03-09,5265.00,43.88
68,002501,利源精制,2019-03-08,1521.52,1.25
69,002657,中科金财,2019-03-08,105.95,0.31
70,002790,瑞尔特,2019-03-08,12000.00,75.00
71,300538,同益股份,2019-03-08,14.31,0.25
72,300310,宜通世纪,2019-03-07,5245.90,6.26
73,300546,雄帝科技,2019-03-07,74.20,0.55
74,603027,千禾味业,2019-03-07,9340.49,58.38
75,002579,中京电子,2019-03-06,234.90,0.62
76,002099,海翔药业,2019-03-04,144.00,0.09
77,002611,东方精工,2019-03-04,6127.45,5.29
78,300260,新莱应材,2019-03-03,27.60,0.27
79,000034,神州数码,2019-03-02,29609.69,45.27
80,002247,帝龙文化,2019-03-02,10.00,0.01
81,300221,银禧科技,2019-03-02,1991.84,3.94
82,300502,新易盛,2019-03-02,3467.25,14.89
83,300170,汉得信息,2019-03-01,675.00,0.79
84,300269,联建光电,2019-03-01,26.25,0.04
85,600884,杉杉股份,2019-03-01,30104.85,26.81
