,code,name,date,count,ratio
0,002541,鸿路钢构,2017-08-31,8114.59,23.24
1,002702,海欣食品,2017-08-31,873.80,1.72
2,300179,四方达,2017-08-31,84.31,0.18
3,300245,天玑科技,2017-08-31,6.80,0.03
4,603017,中衡设计,2017-08-31,3167.37,11.50
5,000887,中鼎股份,2017-08-30,559.70,0.45
6,002239,奥特佳,2017-08-30,2353.89,2.10
7,002528,英飞拓,2017-08-30,11091.45,10.58
8,300364,中文在线,2017-08-30,16.68,0.06
9,300373,扬杰科技,2017-08-30,5042.86,10.67
10,300539,横河模具,2017-08-30,1216.16,5.82
11,600400,红豆股份,2017-08-30,21704.16,12.00
12,603090,宏盛股份,2017-08-30,1568.13,15.68
13,002115,三维通信,2017-08-29,167.13,0.40
14,002456,欧菲光,2017-08-29,15.00,0.01
15,002609,捷顺科技,2017-08-29,445.71,0.67
16,300301,长方集团,2017-08-29,5.28,0.01
17,600335,国机汽车,2017-08-29,8901.83,8.64
18,600604,市北高新,2017-08-29,27944.06,14.92
19,002032,苏泊尔,2017-08-28,12.50,0.01
20,002247,帝龙文化,2017-08-28,203.11,0.24
21,002298,中电鑫龙,2017-08-28,4696.64,6.67
22,002466,天齐锂业,2017-08-28,257.36,0.26
23,300271,华宇软件,2017-08-28,4.76,0.01
24,002519,银河电子,2017-08-27,24.48,0.02
25,002523,天桥起重,2017-08-27,1598.77,1.58
26,300178,腾邦国际,2017-08-27,393.04,0.71
27,300247,乐金健康,2017-08-27,1400.00,1.74
28,600331,宏达股份,2017-08-27,100000.00,49.21
29,000413,东旭光电,2017-08-26,110492.85,22.37
30,000540,中天金融,2017-08-26,470.62,0.10
31,002810,山东赫达,2017-08-26,2718.01,28.44
32,300178,腾邦国际,2017-08-26,62.47,0.11
33,300222,科大智能,2017-08-26,679.44,0.93
34,300538,同益股份,2017-08-26,363.62,6.44
35,600482,中国动力,2017-08-26,168.96,0.10
36,603007,花王股份,2017-08-26,11098.70,33.29
37,603678,火炬电子,2017-08-26,3666.60,8.10
38,000703,恒逸石化,2017-08-25,292.50,0.18
39,002271,东方雨虹,2017-08-25,1578.15,1.79
40,002466,天齐锂业,2017-08-25,5.02,0.01
41,002733,雄韬股份,2017-08-25,4411.32,12.60
42,300067,安诺其,2017-08-25,507.80,0.78
43,300435,中泰股份,2017-08-25,144.00,0.59
44,601579,会稽山,2017-08-25,15200.00,30.56
45,002589,瑞康医药,2017-08-24,20633.44,13.71
46,300443,金雷风电,2017-08-24,1301.68,5.47
47,300464,星徽精密,2017-08-24,112.88,0.54
48,300476,胜宏科技,2017-08-24,216.75,0.58
49,002527,新时达,2017-08-23,4725.00,7.62
50,002583,海能达,2017-08-23,19000.27,10.88
51,002809,红墙股份,2017-08-23,3256.70,27.14
52,300148,天舟文化,2017-08-23,7314.60,11.25
53,300230,永利股份,2017-08-23,4719.26,18.73
54,300540,深冷股份,2017-08-23,3000.00,37.50
55,000719,大地传媒,2017-08-22,35605.62,34.80
56,002358,森源电气,2017-08-22,13416.15,14.43
57,002371,北方华创,2017-08-22,17651.57,38.54
58,002445,中南文化,2017-08-22,6034.53,7.25
59,002537,海立美达,2017-08-22,43048.52,34.40
60,002772,众兴菌业,2017-08-22,5368.33,14.38
61,300126,锐奇股份,2017-08-22,79.36,0.26
62,300196,长海股份,2017-08-22,2024.80,9.54
63,300476,胜宏科技,2017-08-22,38.88,0.10
64,600645,中源协和,2017-08-22,130.00,0.34
65,603031,安德利,2017-08-22,1990.14,24.88
66,603099,长白山,2017-08-22,16400.00,61.50
67,000902,新洋丰,2017-08-21,352.80,0.27
68,002199,东晶电子,2017-08-21,5405.41,22.20
69,300322,硕贝德,2017-08-21,37.35,0.09
70,600175,美都能源,2017-08-21,100300.43,28.04
71,600718,东软集团,2017-08-21,438.36,0.35
72,002364,中恒电气,2017-08-20,420.00,0.74
73,002738,中矿资源,2017-08-20,204.24,1.06
74,300203,聚光科技,2017-08-20,16.15,0.04
75,300395,菲利华,2017-08-20,120.15,0.41
76,300418,昆仑万维,2017-08-20,700.32,0.60
77,300471,厚普股份,2017-08-20,110.36,0.30
78,600266,北京城建,2017-08-20,5000.00,3.19
79,600661,新南洋,2017-08-20,7767.64,29.98
80,601636,旗滨集团,2017-08-20,4168.00,1.55
81,002022,科华生物,2017-08-19,2631.17,5.13
82,002271,东方雨虹,2017-08-19,503.19,0.57
83,002367,康力电梯,2017-08-19,5905.26,7.40
84,002743,富煌钢构,2017-08-19,8928.09,26.17
85,300350,华鹏飞,2017-08-19,1711.44,3.21
86,300367,东方网力,2017-08-19,49.38,0.06
87,600075,新疆天业,2017-08-19,15597.92,22.45
88,603515,欧普照明,2017-08-19,3996.21,6.90
89,002266,浙富控股,2017-08-18,14120.55,7.14
90,002640,跨境通,2017-08-18,320.00,0.22
91,002643,万润股份,2017-08-18,4245.09,4.67
92,300112,万讯自控,2017-08-18,373.47,1.40
93,300233,金城医药,2017-08-18,10.56,0.03
94,300298,三诺生物,2017-08-18,34.97,0.09
95,300375,鹏翎股份,2017-08-18,188.00,1.01
96,300532,今天国际,2017-08-18,3285.13,21.73
97,600327,大东方,2017-08-18,4545.45,8.01
98,601567,三星医疗,2017-08-18,502.00,0.35
99,603808,歌力思,2017-08-18,423.65,1.63
100,603986,兆易创新,2017-08-18,9734.53,48.67
101,300533,冰川网络,2017-08-17,3116.08,31.16
102,002168,深圳惠程,2017-08-16,160.00,0.19
103,300123,太阳鸟,2017-08-16,250.00,0.83
104,601137,博威合金,2017-08-16,13392.86,21.35
105,601595,上海电影,2017-08-16,1254.53,3.36
106,601799,星宇股份,2017-08-16,3650.52,13.22
107,601997,贵阳银行,2017-08-16,86473.85,37.62
108,002092,中泰化学,2017-08-15,33924.10,15.80
109,002193,山东如意,2017-08-15,7120.09,27.21
110,300364,中文在线,2017-08-15,4273.50,15.01
111,600418,江淮汽车,2017-08-15,43007.91,22.72
112,600936,广西广电,2017-08-15,89598.33,53.62
113,002533,金杯电工,2017-08-14,616.38,1.11
114,300118,东方日升,2017-08-14,715.30,0.79
115,300319,麦捷科技,2017-08-13,992.18,4.25
116,002808,苏州恒久,2017-08-12,2581.92,21.52
117,300535,达威股份,2017-08-12,1678.46,28.10
118,600577,精达股份,2017-08-12,53619.30,27.42
119,000685,中山公用,2017-08-11,18221.19,12.35
120,002149,西部材料,2017-08-11,3807.71,8.95
121,600242,中昌数据,2017-08-11,1803.82,4.32
122,300158,振东制药,2017-08-10,14720.58,28.32
123,603569,长久物流,2017-08-10,1727.34,4.32
124,600977,中国电影,2017-08-09,9800.00,5.25
125,000166,申万宏源,2017-08-08,80.95,0.00
126,300104,乐视网,2017-08-08,10664.30,5.35
127,300528,幸福蓝海,2017-08-08,6054.80,19.50
128,300530,达志科技,2017-08-08,357.42,5.11
129,300531,优博讯,2017-08-08,5199.60,18.57
130,601811,新华文轩,2017-08-08,10038.44,8.14
131,601901,方正证券,2017-08-08,194225.09,23.59
132,603609,禾丰牧业,2017-08-08,41278.46,49.66
133,300144,宋城演艺,2017-08-07,558.03,0.38
134,002392,北京利尔,2017-08-06,2290.88,1.91
135,300136,信维通信,2017-08-06,2073.30,2.11
136,300437,清水源,2017-08-06,210.00,0.96
137,600704,物产中大,2017-08-06,5342.47,1.86
138,300527,华舟应急,2017-08-05,2085.12,4.51
139,603100,川仪股份,2017-08-05,14260.29,36.10
140,000166,申万宏源,2017-08-04,109.31,0.01
141,000623,吉林敖东,2017-08-04,1788.88,2.00
142,002413,雷科防务,2017-08-04,6137.93,5.62
143,600185,格力地产,2017-08-03,44247.79,21.48
144,300529,健帆生物,2017-08-02,6373.70,15.30
145,000055,方大集团,2017-08-01,4827.74,4.08
146,000783,长江证券,2017-08-01,78700.00,14.23
147,002572,索菲亚,2017-08-01,4147.03,4.49
148,002604,龙力生物,2017-08-01,7648.82,12.76
149,300355,蒙草生态,2017-08-01,4737.48,4.72
150,300388,国祯环保,2017-08-01,12277.66,40.17
151,300391,康跃科技,2017-08-01,10500.00,52.98
152,300526,中潜股份,2017-08-01,1731.48,10.20
153,603111,康尼机电,2017-08-01,35153.32,47.61
154,603663,三祥新材,2017-08-01,1551.69,11.57
