,code,name,date,count,ratio
0,002192,融捷股份,2018-05-31,4650.00,17.91
1,002279,久其软件,2018-05-31,1512.89,2.15
2,300226,上海钢联,2018-05-31,103.12,0.65
3,300297,蓝盾股份,2018-05-31,2193.52,1.87
4,603196,日播时尚,2018-05-31,540.00,2.25
5,002726,龙大肉食,2018-05-30,248.40,0.56
6,300466,赛摩电气,2018-05-30,14100.00,47.50
7,002076,雪莱特,2018-05-29,186.45,0.25
8,002132,恒星科技,2018-05-29,402.33,0.32
9,002285,世联行,2018-05-29,31311.65,15.31
10,300299,富春股份,2018-05-29,2592.18,6.82
11,600380,健康元,2018-05-29,1027.90,0.65
12,603026,石大胜华,2018-05-29,6225.24,30.71
13,603300,华铁科技,2018-05-29,12722.60,31.39
14,603901,永创智能,2018-05-29,3000.00,7.50
15,000078,海王生物,2018-05-28,1560.00,0.59
16,002758,华通医药,2018-05-28,5512.50,26.25
17,002759,天际股份,2018-05-28,14400.00,31.85
18,300287,飞利信,2018-05-28,4278.07,2.98
19,300463,迈克生物,2018-05-28,21702.20,38.89
20,300465,高伟达,2018-05-28,15772.80,34.82
21,300467,迅游科技,2018-05-28,5852.14,35.08
22,300468,四方精创,2018-05-28,3431.25,32.55
23,300588,熙菱信息,2018-05-28,270.00,2.70
24,601000,唐山港,2018-05-28,3130.43,0.69
25,603198,迎驾贡酒,2018-05-28,63360.00,79.20
26,603568,伟明环保,2018-05-28,55006.20,80.04
27,603669,灵康药业,2018-05-28,17355.00,66.75
28,603918,金桥信息,2018-05-28,5265.60,29.70
29,002665,首航节能,2018-05-27,17090.49,8.67
30,002757,南兴装备,2018-05-27,6893.90,63.05
31,300588,熙菱信息,2018-05-27,712.50,7.12
32,600736,苏州高新,2018-05-27,5534.21,4.63
33,603023,威帝股份,2018-05-27,23298.30,64.72
34,603108,润达医疗,2018-05-27,15912.36,27.46
35,603598,引力传媒,2018-05-27,16932.00,62.45
36,603998,方盛制药,2018-05-27,195.25,0.45
37,002035,华帝股份,2018-05-26,128.70,0.35
38,002043,兔宝宝,2018-05-26,991.80,1.15
39,002384,东山精密,2018-05-26,22365.80,20.88
40,300462,华铭智能,2018-05-26,2779.28,20.18
41,300659,中孚信息,2018-05-26,3612.46,44.27
42,600010,包钢股份,2018-05-26,2317777.78,50.84
43,603885,吉祥航空,2018-05-26,86540.80,67.42
44,002157,正邦科技,2018-05-25,988.80,0.43
45,002671,龙泉股份,2018-05-25,76.88,0.16
46,002876,三利谱,2018-05-25,3872.41,48.41
47,300124,汇川技术,2018-05-25,258.48,0.15
48,300166,东方国信,2018-05-25,291.45,0.44
49,300389,艾比森,2018-05-25,9.99,0.03
50,600410,华胜天成,2018-05-25,196.56,0.18
51,603580,艾艾精工,2018-05-25,487.50,7.31
52,601689,拓普集团,2018-05-24,7395.61,10.17
53,603855,华荣股份,2018-05-24,11877.00,35.88
54,002708,光洋股份,2018-05-23,917.73,1.96
55,300045,华力创通,2018-05-23,1500.94,2.60
56,300391,康跃科技,2018-05-23,1668.48,8.42
57,300655,晶瑞股份,2018-05-23,4541.79,51.47
58,300657,弘信电子,2018-05-23,4633.28,44.55
59,600019,宝钢股份,2018-05-23,1130.67,0.05
60,002635,安洁科技,2018-05-22,85.55,0.15
61,300036,超图软件,2018-05-22,17.28,0.04
62,300193,佳士科技,2018-05-22,573.06,1.13
63,300227,光韵达,2018-05-22,623.41,4.16
64,300653,正海生物,2018-05-22,1140.00,14.25
65,603383,顶点软件,2018-05-22,1972.00,23.42
66,000001,平安银行,2018-05-21,25224.80,1.47
67,002063,远光软件,2018-05-21,1.48,0.00
68,600135,乐凯胶片,2018-05-21,464.88,1.25
69,300138,晨光生物,2018-05-20,111.26,0.42
70,603686,龙马环卫,2018-05-20,169.50,0.62
71,002239,奥特佳,2018-05-19,39504.67,35.32
72,002663,普邦股份,2018-05-19,8440.53,4.70
73,002670,国盛金控,2018-05-19,7188.92,4.80
74,002753,永东股份,2018-05-19,9000.00,60.79
75,002872,天圣制药,2018-05-19,9035.88,42.62
76,002873,新天药业,2018-05-19,2123.32,30.83
77,300461,田中精机,2018-05-19,4310.50,61.10
78,300656,民德电子,2018-05-19,2488.32,41.47
79,600637,东方明珠,2018-05-19,30835.65,11.67
80,600958,东方证券,2018-05-19,2000.00,0.32
81,603197,保隆科技,2018-05-19,4100.69,35.02
82,000676,智度股份,2018-05-18,248.04,0.26
83,002299,圣农发展,2018-05-18,20000.00,18.00
84,002837,英维克,2018-05-18,41.84,0.21
85,300247,乐金健康,2018-05-18,200.00,0.25
86,300356,光一科技,2018-05-18,367.12,0.88
87,300450,先导智能,2018-05-18,23901.66,58.58
88,603022,新通联,2018-05-18,13500.00,67.50
89,603311,金海环境,2018-05-18,10647.18,50.70
90,603566,普莱柯,2018-05-18,15788.18,48.77
91,603898,好莱客,2018-05-18,177.00,0.59
92,603968,醋化股份,2018-05-18,6788.00,33.20
93,300231,银信科技,2018-05-17,309.78,0.90
94,603269,海鸥股份,2018-05-17,1427.40,15.60
95,603758,秦安股份,2018-05-17,7349.89,16.75
96,002074,国轩高科,2018-05-16,25014.34,28.50
97,002600,江粉磁材,2018-05-16,12380.95,10.52
98,300318,博晖创新,2018-05-16,195.42,0.24
99,300347,泰格医药,2018-05-16,2531.14,5.06
100,300453,三鑫医疗,2018-05-16,8159.76,51.41
101,300460,惠伦晶体,2018-05-16,7243.55,43.05
102,300497,富祥股份,2018-05-16,121.12,1.08
103,300652,雷迪克,2018-05-16,929.88,10.57
104,300653,正海生物,2018-05-16,1188.00,14.85
105,600380,健康元,2018-05-16,68.00,0.04
106,603488,展鹏科技,2018-05-16,4448.90,21.39
107,002327,富安娜,2018-05-15,350.38,0.40
108,002755,东方新星,2018-05-15,6620.00,65.33
109,002869,金溢科技,2018-05-15,2148.00,18.23
110,002870,香山股份,2018-05-15,4980.00,45.00
111,300194,福安药业,2018-05-15,1309.63,1.10
112,300452,山河药辅,2018-05-15,5063.29,54.56
113,300455,康拓红外,2018-05-15,20736.80,52.90
114,300458,全志科技,2018-05-15,8160.00,24.53
115,300459,金科娱乐,2018-05-15,37992.93,24.03
116,300636,同和药业,2018-05-15,843.24,10.54
117,601952,苏垦农发,2018-05-15,5484.88,5.17
118,603227,雪峰科技,2018-05-15,23716.00,36.00
119,603718,海利生物,2018-05-15,33906.60,52.65
120,603989,艾华集团,2018-05-15,21562.50,71.88
121,002295,精艺股份,2018-05-14,3680.00,14.63
122,002756,永兴特钢,2018-05-14,18670.50,51.86
123,300451,创业软件,2018-05-14,6908.74,28.44
124,300456,耐威科技,2018-05-14,9362.18,50.56
125,300457,赢合科技,2018-05-14,6275.01,50.62
126,600163,中闽能源,2018-05-14,9533.54,9.54
127,002372,伟星新材,2018-05-13,1064.70,1.06
128,300045,华力创通,2018-05-13,217.20,0.38
129,300319,麦捷科技,2018-05-13,13.69,0.06
130,300414,中光防雷,2018-05-13,8430.00,49.32
131,603355,莱克电气,2018-05-13,33431.00,83.37
132,603599,广信股份,2018-05-13,24000.00,63.75
133,000156,华数传媒,2018-05-12,28667.10,20.00
134,002132,恒星科技,2018-05-12,77.08,0.06
135,300121,阳谷华泰,2018-05-12,252.60,0.87
136,300305,裕兴股份,2018-05-12,100.40,0.34
137,300310,宜通世纪,2018-05-12,3935.35,4.69
138,600167,联美控股,2018-05-12,19989.67,22.71
139,600198,大唐电信,2018-05-12,512.90,0.58
140,603180,金牌厨柜,2018-05-12,141.65,2.11
141,300431,暴风集团,2018-05-11,334.03,1.21
142,600586,金晶科技,2018-05-11,1085.55,0.74
143,601258,庞大集团,2018-05-11,5848.50,0.88
144,603086,先达股份,2018-05-11,3179.55,39.74
145,603113,金能科技,2018-05-11,25662.53,37.97
146,300269,联建光电,2018-05-10,3936.03,6.41
147,300296,利亚德,2018-05-10,613.45,0.38
148,603896,寿仙谷,2018-05-10,2610.65,18.67
149,603926,铁流股份,2018-05-10,3509.25,29.24
150,300266,兴源环境,2018-05-09,706.71,1.39
151,300651,金陵体育,2018-05-09,789.60,10.43
152,600063,皖维高新,2018-05-09,28000.00,14.54
153,600666,奥瑞德,2018-05-09,42367.07,34.52
154,603229,奥翔药业,2018-05-09,1398.00,8.74
155,603728,鸣志电器,2018-05-09,5520.00,17.25
156,002051,中工国际,2018-05-08,339.78,0.37
157,002383,合众思壮,2018-05-08,891.15,1.22
158,002551,尚荣医疗,2018-05-08,9.06,0.02
159,300436,广生堂,2018-05-08,56.27,0.40
160,600217,中再资环,2018-05-08,62138.98,44.03
161,600163,中闽能源,2018-05-07,15050.60,15.06
162,600686,金龙汽车,2018-05-07,16414.14,27.05
163,002088,鲁阳节能,2018-05-06,6785.38,29.00
164,300271,华宇软件,2018-05-06,610.86,0.92
165,300348,长亮科技,2018-05-06,40.13,0.13
166,300510,金冠电气,2018-05-06,435.00,2.50
167,002073,软控股份,2018-05-05,234.00,0.25
168,002527,新时达,2018-05-05,471.86,0.76
169,300209,天泽信息,2018-05-05,732.17,2.51
170,300448,浩云科技,2018-05-05,33.46,0.17
171,300643,万通智控,2018-05-05,3373.49,16.87
172,603985,恒润股份,2018-05-05,3120.00,39.00
173,002661,克明面业,2018-05-04,18.02,0.05
174,601567,三星医疗,2018-05-04,61.25,0.04
175,601636,旗滨集团,2018-05-04,3178.00,1.18
176,603501,韦尔股份,2018-05-04,9496.50,22.83
177,000673,当代东方,2018-05-03,358.75,0.45
178,002868,绿康生化,2018-05-03,846.00,7.05
179,300075,数字政通,2018-05-03,262.35,0.66
180,300647,超频三,2018-05-03,1773.00,14.77
181,300650,太龙照明,2018-05-03,2792.10,44.21
182,600621,华鑫股份,2018-05-03,1116.77,1.05
183,603505,金石资源,2018-05-03,5203.46,21.68
184,603320,迪贝电气,2018-05-02,750.00,7.50
185,000612,焦作万方,2018-05-01,19021.62,15.96
186,002491,通鼎互联,2018-05-01,2894.30,2.29
