,code,name,date,count,ratio
0,000727,华东科技,2018-01-30,208711.43,46.08
1,300358,楚天科技,2018-01-29,59.18,0.13
2,300369,绿盟科技,2018-01-29,18598.32,23.35
3,601567,三星医疗,2018-01-29,17.25,0.01
4,603799,华友钴业,2018-01-29,26391.80,44.53
5,002734,利民股份,2018-01-28,4326.32,26.27
6,300266,兴源环境,2018-01-28,3127.09,6.15
7,603611,诺力股份,2018-01-28,6697.50,36.04
8,603698,航天工程,2018-01-28,32352.94,78.47
9,002261,拓维信息,2018-01-27,1983.67,1.79
10,002780,三夫户外,2018-01-27,17.74,0.18
11,603558,健盛集团,2018-01-27,18450.00,49.80
12,603899,晨光文具,2018-01-27,69600.00,75.65
13,000166,申万宏源,2018-01-26,1261591.35,62.90
14,000519,中兵红箭,2018-01-26,15231.60,10.85
15,002020,京新药业,2018-01-26,771.73,1.21
16,002281,光迅科技,2018-01-26,614.30,0.98
17,002534,杭锅股份,2018-01-26,448.88,0.61
18,300116,坚瑞沃能,2018-01-26,2016.00,0.83
19,300602,飞荣达,2018-01-26,600.00,6.00
20,300603,立昂技术,2018-01-26,3394.18,33.11
21,603089,正裕工业,2018-01-26,478.49,4.49
22,603678,火炬电子,2018-01-26,21425.08,47.33
23,603686,龙马环卫,2018-01-26,16045.00,58.91
24,002845,同兴达,2018-01-25,1173.60,12.22
25,300098,高新兴,2018-01-25,860.06,0.78
26,300600,瑞特股份,2018-01-25,1627.50,16.28
27,603358,华达科技,2018-01-25,3025.59,18.91
28,603966,法兰泰克,2018-01-25,3133.01,19.58
29,000876,新希望,2018-01-24,3562.05,0.84
30,002212,南洋股份,2018-01-24,41808.55,36.45
31,002501,利源精制,2018-01-24,26362.04,21.70
32,002839,张家港行,2018-01-24,85060.44,47.06
33,300335,迪森股份,2018-01-24,13.50,0.04
34,300529,健帆生物,2018-01-24,138.12,0.33
35,300578,会畅通讯,2018-01-24,1144.80,15.90
36,603429,集友股份,2018-01-24,1785.00,26.25
37,000767,漳泽电力,2018-01-23,65856.35,21.40
38,002125,湘潭电化,2018-01-23,3634.14,10.51
39,002327,富安娜,2018-01-23,522.08,0.60
40,002352,顺丰控股,2018-01-23,124825.87,29.84
41,002445,中南文化,2018-01-23,4075.68,4.90
42,300371,汇中股份,2018-01-23,6386.98,53.23
43,300415,伊之密,2018-01-23,8100.00,33.75
44,300417,南华仪器,2018-01-23,350.00,4.29
45,300597,吉大通信,2018-01-23,1350.00,5.62
46,300599,雄塑科技,2018-01-23,1952.00,6.42
47,600645,中源协和,2018-01-23,2931.32,7.59
48,601881,中国银河,2018-01-23,68566.33,6.76
49,603600,永艺股份,2018-01-23,14531.25,58.13
50,000068,华控赛格,2018-01-22,11000.00,10.93
51,002739,万达电影,2018-01-22,71400.00,60.80
52,002740,爱迪尔,2018-01-22,12700.68,38.42
53,300364,中文在线,2018-01-22,9574.60,33.62
54,300416,苏试试验,2018-01-22,6132.00,48.82
55,300419,浩丰科技,2018-01-22,12719.20,34.59
56,600373,中文传媒,2018-01-22,9586.80,6.96
57,600654,*ST中安,2018-01-22,52797.78,41.15
58,601021,春秋航空,2018-01-22,60000.00,74.95
59,601069,西部黄金,2018-01-22,44625.00,70.17
60,603601,再升科技,2018-01-22,17278.80,44.75
