,code,name,date,count,ratio
0,000977,浪潮信息,2019-01-29,395.57,0.40
1,002725,跃岭股份,2019-01-29,9066.24,56.66
2,300358,楚天科技,2019-01-29,78.91,0.18
3,000523,广州浪奇,2019-01-28,7673.67,14.67
4,600136,当代明诚,2019-01-28,8253.38,16.94
5,002718,友邦吊顶,2019-01-27,2493.29,28.45
6,002780,三夫户外,2019-01-27,17.74,0.18
7,600973,宝胜股份,2019-01-27,32707.12,26.76
8,002020,京新药业,2019-01-26,3753.98,5.87
9,002281,光迅科技,2019-01-26,614.30,0.98
10,002534,杭锅股份,2019-01-26,359.10,0.49
11,002439,启明星辰,2019-01-25,2280.01,2.54
12,002493,荣盛石化,2019-01-25,12000.00,3.15
13,300003,乐普医疗,2019-01-25,11957.03,6.71
14,300098,高新兴,2019-01-25,860.06,0.78
15,600468,百利电气,2019-01-25,845.50,1.56
16,300529,健帆生物,2019-01-24,138.12,0.33
17,002327,富安娜,2019-01-23,522.08,0.60
18,300417,南华仪器,2019-01-23,5000.00,61.27
19,300597,吉大通信,2019-01-23,6792.86,28.30
20,000038,深大通,2019-01-22,4742.59,14.52
21,002709,天赐材料,2019-01-22,13450.53,41.38
22,600748,上实发展,2019-01-22,43618.08,23.65
23,002321,华英农业,2019-01-21,10849.11,20.31
24,300090,盛运环保,2019-01-21,26096.39,19.77
25,300358,楚天科技,2019-01-21,22165.61,49.66
26,300360,炬华科技,2019-01-21,4671.00,12.88
27,300362,天翔环境,2019-01-21,11088.17,25.47
28,600358,国旅联合,2019-01-21,7293.67,14.45
29,600580,卧龙电气,2019-01-21,17837.24,13.84
30,002125,湘潭电化,2019-01-20,8664.96,25.07
31,002127,南极电商,2019-01-20,50708.03,32.97
32,002137,麦达数字,2019-01-20,6697.67,11.62
33,300566,激智科技,2019-01-20,99.96,1.21
34,600055,万东医疗,2019-01-20,3997.73,7.39
35,601998,中信银行,2019-01-20,214746.95,4.39
36,000766,通化金马,2019-01-19,15220.70,15.75
37,002270,华明装备,2019-01-19,3623.19,7.16
38,002179,中航光电,2019-01-18,255.56,0.32
39,002365,永安药业,2019-01-18,283.65,1.44
40,002441,众业达,2019-01-18,3.36,0.01
41,300006,莱美药业,2019-01-18,8578.37,10.56
42,300045,华力创通,2019-01-18,195.90,0.34
43,300129,泰胜风能,2019-01-18,3600.00,4.95
44,300188,美亚柏科,2019-01-18,2292.91,4.62
45,600728,佳都科技,2019-01-18,22033.90,13.78
46,600716,凤凰股份,2019-01-17,2583.98,2.76
47,000540,中天金融,2019-01-15,30425.96,6.47
48,300143,星河生物,2019-01-15,8653.85,30.01
49,300296,利亚德,2019-01-15,4491.37,2.76
50,300468,四方精创,2019-01-15,156.12,1.48
51,600458,时代新材,2019-01-15,14137.61,17.61
52,001979,招商蛇口,2019-01-14,50229.51,6.35
53,002135,东南网架,2019-01-14,10593.22,12.40
54,002249,大洋电机,2019-01-14,410.79,0.17
55,300072,三聚环保,2019-01-14,1237.09,0.69
56,600096,云天化,2019-01-14,19924.91,15.08
57,600483,福能股份,2019-01-14,29347.83,18.91
58,600741,华域汽车,2019-01-14,28621.49,9.08
59,002249,大洋电机,2019-01-13,84.51,0.04
60,300440,运达科技,2019-01-13,240.60,0.53
61,300473,德尔股份,2019-01-13,246.50,2.35
62,002555,三七互娱,2019-01-12,33057.85,15.86
63,002512,达华智能,2019-01-11,9489.54,8.66
64,300287,飞利信,2019-01-11,1994.19,1.39
65,002289,宇顺电子,2019-01-10,690.20,3.69
66,300116,坚瑞沃能,2019-01-09,4460.45,1.83
67,000415,渤海金控,2019-01-08,263591.43,42.62
68,002196,方正电机,2019-01-08,261.69,0.99
69,300065,海兰信,2019-01-08,3105.47,12.86
70,300009,安科生物,2019-01-07,1434.30,2.02
71,300138,晨光生物,2019-01-07,4440.00,16.94
72,600525,长园集团,2019-01-07,768.96,0.58
73,600892,大晟文化,2019-01-07,7674.10,54.87
74,000069,华侨城A,2019-01-06,85168.87,10.38
75,002229,鸿博股份,2019-01-06,90.00,0.18
76,002334,英威腾,2019-01-06,911.46,1.21
77,002511,中顺洁柔,2019-01-06,669.41,0.88
78,002778,高科石化,2019-01-06,3357.20,37.67
79,603006,联明股份,2019-01-06,139.44,0.72
80,002390,信邦制药,2019-01-05,23220.26,13.62
81,002438,江苏神通,2019-01-05,133.80,0.27
82,002592,八菱科技,2019-01-05,3399.46,12.00
83,300256,星星科技,2019-01-05,252.00,0.39
84,300325,德威新材,2019-01-05,480.00,0.47
85,300348,长亮科技,2019-01-05,684.19,2.28
86,300465,高伟达,2019-01-05,204.80,0.45
87,600184,光电股份,2019-01-05,9000.00,17.69
88,600687,刚泰控股,2019-01-05,41017.59,27.55
89,600807,天业股份,2019-01-05,1120.00,1.27
90,000883,湖北能源,2019-01-04,115869.98,17.81
91,002098,浔兴股份,2019-01-04,4800.00,13.41
92,002508,老板电器,2019-01-04,37.44,0.04
93,002680,长生生物,2019-01-04,32967.67,34.01
94,002722,金轮股份,2019-01-04,1006.76,5.74
95,002739,万达电影,2019-01-04,3410.45,2.90
96,002773,康弘药业,2019-01-04,191.52,0.28
97,300345,红宇新材,2019-01-04,4193.55,9.50
98,000793,华闻传媒,2019-01-02,1729.04,0.86
99,600074,保千里,2019-01-02,1934.85,0.79
