,code,name,date,count,ratio
0,000540,中天金融,2018-11-30,1428.53,0.30
1,000587,金洲慈航,2018-11-30,45536.87,42.88
2,300140,中环装备,2018-11-30,147.72,0.43
3,300204,舒泰神,2018-11-30,8.68,0.02
4,603598,引力传媒,2018-11-28,132.99,0.49
5,603636,南威软件,2018-11-28,341.58,0.84
6,000018,神州长城,2018-11-27,9847.56,5.80
7,000793,华闻传媒,2018-11-27,2153.29,1.07
8,300133,华策影视,2018-11-27,17486.34,10.01
9,603118,共进股份,2018-11-27,273.66,0.35
10,002188,巴士在线,2018-11-25,11193.34,37.36
11,300324,旋极信息,2018-11-25,2743.85,2.39
12,300393,中来股份,2018-11-25,106.80,0.58
13,300412,迦南科技,2018-11-25,129.33,0.50
14,600325,华发股份,2018-11-25,10560.00,8.97
15,600480,凌云股份,2018-11-25,8921.93,19.79
16,300349,金卡智能,2018-11-24,777.67,3.31
17,600584,长电科技,2018-11-24,5134.48,4.96
18,002124,天邦股份,2018-11-23,17773.79,22.99
19,002169,智光电气,2018-11-23,9927.80,12.60
20,002567,唐人神,2018-11-23,7240.95,9.03
21,300368,汇金股份,2018-11-23,3208.44,5.90
22,603788,宁波高发,2018-11-23,83.40,0.59
23,601155,新城控股,2018-11-22,1140.00,0.51
24,000008,神州高铁,2018-11-21,997.38,0.36
25,002530,金财互联,2018-11-21,2996.87,6.11
26,002738,中矿资源,2018-11-21,163.20,0.85
27,600587,新华医疗,2018-11-21,49.36,0.12
28,000698,沈阳化工,2018-11-20,15858.59,19.35
29,002507,涪陵榨菜,2018-11-20,805.21,1.02
30,300271,华宇软件,2018-11-20,623.16,0.93
31,600614,鹏起科技,2018-11-20,20059.35,11.44
32,600970,中材国际,2018-11-20,7104.72,4.05
33,002010,传化智联,2018-11-19,232288.04,71.30
34,002340,格林美,2018-11-19,66155.08,17.34
35,300016,北陆药业,2018-11-19,1937.98,5.95
36,600196,复星医药,2018-11-19,90.36,0.04
37,600498,烽火通信,2018-11-19,931.67,0.89
38,600525,长园集团,2018-11-19,65.76,0.05
39,002454,松芝股份,2018-11-18,410.83,0.97
40,300098,高新兴,2018-11-18,9869.42,8.92
41,600076,康欣新材,2018-11-18,28188.95,27.26
42,600162,香江控股,2018-11-18,910.80,0.27
43,600777,新潮能源,2018-11-18,89150.74,22.01
44,002596,海南瑞泽,2018-11-17,11117.26,11.39
45,300063,天龙集团,2018-11-17,3811.96,13.12
